ticker,BTAI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-08,0.2727
2018-03-09,-0.272
2018-03-12,-5.1818
2018-03-13,-1.1505
2018-03-14,1.5518999999999998
2018-03-15,3.6294
2018-03-16,0.1843
2018-03-19,-5.7038
2018-03-20,0.0
2018-03-21,1.561
2018-03-22,-1.537
2018-03-23,0.5854
2018-03-26,1.4549
2018-03-27,-4.4933
2018-03-28,-1.6016
2018-03-29,4.1709
2018-04-02,5.8594
2018-04-03,-2.3063000000000002
2018-04-04,-0.8499
2018-04-05,5.3333
2018-04-06,-0.0904
2018-04-09,-7.9638
2018-04-10,-3.7365
2018-04-11,-8.6823
2018-04-12,0.0
2018-04-13,3.2438
2018-04-16,0.325
2018-04-17,-3.3477
2018-04-18,-1.4525000000000001
2018-04-19,0.4535
2018-04-20,4.7404
2018-04-23,-2.5862
2018-04-24,-16.5929
2018-04-25,1.1936
2018-04-26,1.5727
2018-04-27,-3.2258
2018-04-30,1.3333
2018-05-01,-1.7105000000000001
2018-05-02,-6.0241
2018-05-03,19.6581
2018-05-04,-8.3333
2018-05-07,5.2597
2018-05-08,0.5552
2018-05-09,7.9755
2018-05-10,12.8409
2018-05-11,0.6042
2018-05-14,-4.9049
2018-05-15,3.1579
2018-05-16,1.9388
2018-05-17,5.5055
2018-05-18,-1.8027
2018-05-21,4.2512
2018-05-22,3.6145
2018-05-23,-5.7245
2018-05-24,3.4156
2018-05-25,-0.8257
2018-05-29,4.1628
2018-05-30,-0.2664
2018-05-31,-2.1371
2018-06-01,1.2739
2018-06-04,-1.3477000000000001
2018-06-05,-2.0036
2018-06-06,0.4647
2018-06-07,0.4625
2018-06-08,-4.6961
2018-06-11,3.5749
2018-06-12,-7.9291
2018-06-13,-0.7092
2018-06-14,0.9184
2018-06-15,-14.0546
2018-06-18,4.1176
2018-06-19,-1.9209
2018-06-20,4.0323
2018-06-21,0.5537
2018-06-22,-3.5242
2018-06-25,3.8813
2018-06-26,1.2088
2018-06-27,-1.9544000000000001
2018-06-28,0.5537
2018-06-29,1.3216
2018-07-02,-0.2174
2018-07-03,-1.4161000000000001
2018-07-05,2.7624
2018-07-06,5.6989
2018-07-09,12.2075
2018-07-10,17.7697
2018-07-11,-8.776
2018-07-12,-1.2658
2018-07-13,-6.4957
2018-07-16,4.2962
2018-07-17,2.8922
2018-07-18,-6.2181
2018-07-19,-2.2707
2018-07-20,-4.0892
2018-07-23,-0.7752
2018-07-24,-11.1328
2018-07-25,10.8791
