ticker,JBLU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-04-12,66.6667
2002-04-15,0.4667
2002-04-16,1.3271
2002-04-17,-1.5499
2002-04-18,-1.9956
2002-04-19,-1.2896
2002-04-22,-3.7359999999999998
2002-04-23,0.9524
2002-04-24,7.5472
2002-04-25,-1.4254
2002-04-26,3.6707
2002-04-29,2.2747
2002-04-30,5.5392
2002-05-01,-0.9543
2002-05-02,-1.3448
2002-05-03,5.88
2002-05-06,4.7271
2002-05-07,-8.9908
2002-05-08,-4.9395
2002-05-09,3.2025
2002-05-10,-2.7949
2002-05-13,-0.6342
2002-05-14,-0.6383
2002-05-15,-1.4989
2002-05-16,-0.7174
2002-05-17,-0.2409
2002-05-20,-4.302
2002-05-21,0.6651
2002-05-22,1.162
2002-05-23,1.2387
2002-05-24,-1.5573000000000001
2002-05-28,2.0339
2002-05-29,1.6833
2002-05-30,0.6317
2002-05-31,-4.1126
2002-06-03,2.2573
2002-06-04,-0.4194
2002-06-05,1.9729999999999999
2002-06-06,1.2609
2002-06-07,1.7604
2002-06-10,0.6329
2002-06-11,2.1384
2002-06-12,-1.4778
2002-06-13,2.2917
2002-06-14,-1.5274999999999999
2002-06-17,3.2472
2002-06-18,-2.2636
2002-06-19,-0.3894
2002-06-20,-0.1646
2002-06-21,-0.8656
2002-06-24,0.6445
2002-06-25,-4.4206
2002-06-26,-2.0748
2002-06-27,-2.8912
2002-06-28,3.5455
2002-07-01,-0.2414
2002-07-02,-3.4323
2002-07-03,-3.0759
2002-07-05,5.9003
2002-07-08,-2.3307
2002-07-09,-1.8182
2002-07-10,-3.4491
2002-07-11,1.3666
2002-07-12,2.649
2002-07-15,-0.8986
2002-07-16,2.8830999999999998
2002-07-17,1.0847
2002-07-18,-2.0344
2002-07-19,1.9169
2002-07-22,-1.4778
2002-07-23,-4.0455
2002-07-24,-0.4003
2002-07-25,-2.8561
2002-07-26,8.8127
2002-07-29,5.9618
2002-07-30,1.1677
2002-07-31,-2.2875
2002-08-01,-0.5155
2002-08-02,-3.2815
2002-08-05,-4.5759
2002-08-06,4.3275
2002-08-07,0.2242
2002-08-08,1.2752
2002-08-09,1.0603
2002-08-12,-2.4918
2002-08-13,-2.2416
2002-08-14,-8.1633
2002-08-15,2.372
2002-08-16,-4.6341
2002-08-19,-6.9335
2002-08-20,5.1142
2002-08-21,2.6144
2002-08-22,1.8089
2002-08-23,-1.8769
2002-08-26,-1.1222
2002-08-27,-0.6964
2002-08-28,-1.5844
