ticker,NUGS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-09,33.3333
2005-05-10,0.0
2005-05-11,0.0
2005-05-12,0.0
2005-05-13,0.0
2005-05-16,0.0
2005-05-17,-0.625
2005-05-18,0.6289
2005-05-19,6.25
2005-05-20,-5.2941
2005-05-23,3.1056
2005-05-24,1.506
2005-05-25,0.8902
2005-05-26,4.7059
2005-05-27,2.2472
2005-05-31,1.0989
2005-06-01,3.2609
2005-06-02,17.8947
2005-06-03,-3.5714
2005-06-06,-1.8519
2005-06-07,1.8868
2005-06-08,-6.4815
2005-06-09,-5.9406
2005-06-10,5.2632
2005-06-13,-1.0
2005-06-14,2.0202
2005-06-15,-0.9901
2005-06-16,0.0
2005-06-17,-2.5
2005-06-20,-13.8462
2005-06-21,9.5238
2005-06-22,-1.087
2005-06-23,-4.3956
2005-06-24,1.1494
2005-06-27,-1.1364
2005-06-28,3.4483
2005-06-29,0.0
2005-06-30,0.0
2005-07-01,5.0
2005-07-05,0.0
2005-07-06,1.5873
2005-07-07,4.1667
2005-07-08,-1.0
2005-07-11,-4.0404
2005-07-12,-2.6316
2005-07-13,0.0
2005-07-14,-8.1081
2005-07-15,7.0588
2005-07-18,-5.4945
2005-07-19,0.0
2005-07-20,5.814
2005-07-21,-5.4945
2005-07-22,0.0
2005-07-25,5.814
2005-07-26,-17.5824
2005-07-27,-1.3333
2005-07-28,-4.0541
2005-07-29,9.8592
2005-08-01,2.5641
2005-08-02,0.0
2005-08-03,10.0
2005-08-04,-3.5227
2005-08-05,-3.4158
2005-08-08,0.0
2005-08-09,-13.4146
2005-08-10,0.0
2005-08-11,18.7324
2005-08-12,0.0
2005-08-15,-1.5421
2005-08-16,4.8193
2005-08-17,11.4943
2005-08-18,0.5155
2005-08-19,-3.5897
2005-08-22,-12.766
2005-08-23,3.0488
2005-08-24,4.142
2005-08-25,1.1364
2005-08-26,-2.2472
2005-08-29,1.7241
2005-08-30,3.9548
2005-08-31,3.2609
2005-09-01,4.1053
2005-09-02,-3.9434
2005-09-06,6.3158
2005-09-07,5.4455
2005-09-08,12.2066
2005-09-09,5.4393
2005-09-12,-6.3492
2005-09-13,0.4237
2005-09-14,-11.3924
2005-09-15,-5.7143
2005-09-16,-4.0404
2005-09-19,-2.1053
2005-09-20,-3.2258
2005-09-21,-4.4444
2005-09-22,8.2558
2005-09-23,-3.3298
2005-09-26,-4.4444
2005-09-27,5.814
2005-09-28,8.7912
2005-09-29,-2.5253
2005-09-30,-2.5907
