ticker,EYEG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-02-13,0.0
2015-02-17,-5.8333
2015-02-18,0.0
2015-02-19,-2.6549
2015-02-20,9.0909
2015-02-23,-0.0698
2015-02-24,-4.0997
2015-02-25,4.3478
2015-02-26,1.6667
2015-02-27,-0.8197
2015-03-03,-0.8264
2015-03-09,0.0
2015-03-10,0.0
2015-03-16,-20.0
2015-03-17,-6.25
2015-03-18,-13.3333
2015-03-19,-20.5128
2015-03-24,0.6452
2015-03-25,0.641
2015-03-26,0.3185
2015-03-30,11.1111
2015-04-01,-8.0
2015-04-14,21.7391
2015-04-15,1.0204
2015-04-16,-0.2525
2015-04-20,0.0
2015-04-21,1.2658
2015-04-22,0.0
2015-04-30,-6.25
2015-05-01,-6.6667
2015-05-06,21.4286
2015-05-07,-3.5294
2015-05-13,21.9512
2015-05-14,1.8
2015-05-19,-8.8409
2015-05-21,-0.2155
2015-05-22,0.432
2015-05-27,0.0
2015-05-28,-3.2258
2015-06-02,0.0
2015-06-05,0.0
2015-06-18,-11.1111
2015-06-29,0.0
2015-06-30,25.0
2015-07-01,-20.0
2015-07-02,0.0
2015-07-06,17.5
2015-07-10,30.8511
2015-07-13,8.9431
2015-07-14,123.8806
2015-07-15,-4.0
2015-07-16,-18.0556
2015-07-17,4.661
2015-07-20,10.9312
2015-07-21,24.0876
2015-07-22,17.647100000000002
2015-07-23,0.0
2015-07-24,2.5
2015-07-27,-10.2439
2015-07-28,-34.7826
2015-07-29,15.0
2015-07-30,0.0
2015-07-31,-48.1884
2015-08-03,-6.2937
2015-08-04,-2.8358
2015-08-05,-13.2104
2015-08-06,-2.4779
2015-08-07,-3.4483
2015-08-10,3.7594
2015-08-11,-6.7029
2015-08-12,-12.233
2015-08-13,-10.3982
2015-08-14,-1.4815
2015-08-17,16.0401
2015-08-18,-1.2959
2015-08-19,-8.2057
2015-08-20,-2.0262000000000002
2015-08-21,1.4599
2015-08-24,-5.5156
2015-08-25,-0.2538
2015-08-26,-4.8346
2015-08-27,0.0
2015-08-28,-4.0107
2015-08-31,4.4568
2015-09-01,1.3333
2015-09-02,-5.5263
2015-09-03,4.4568
2015-09-04,1.8667
2015-09-08,14.9215
2015-09-09,6.6059
2015-09-10,-4.9145
2015-09-11,-4.7191
2015-09-14,-4.0094
2015-09-15,-4.1769
2015-09-16,1.5385
2015-09-17,0.7576
2015-09-18,-4.2607
2015-09-21,-1.8325
2015-09-22,-5.6
2015-09-23,-4.8023
