ticker,WPG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-15,4.0379
2014-05-16,-4.2645
2014-05-19,1.8018
2014-05-20,1.0324
2014-05-21,0.3406
2014-05-22,1.7944
2014-05-23,1.2863
2014-05-27,-1.3641
2014-05-28,0.2861
2014-05-29,-2.0447
2014-05-30,-3.4466
2014-06-02,-0.4525
2014-06-03,0.5051
2014-06-04,-4.0704
2014-06-05,-0.1048
2014-06-06,0.7866
2014-06-09,-0.052
2014-06-10,0.5206
2014-06-11,-0.3625
2014-06-12,-0.5717
2014-06-13,0.1568
2014-06-16,0.9916
2014-06-17,1.5504
2014-06-18,0.3562
2014-06-19,-0.5071
2014-06-20,-2.4465
2014-06-23,0.8359
2014-06-24,-0.7254
2014-06-25,-0.5741
2014-06-26,-0.5249
2014-06-27,-2.2691
2014-06-30,1.1879
2014-07-01,1.334
2014-07-02,-0.1053
2014-07-03,1.3179
2014-07-07,-0.1041
2014-07-08,1.5104
2014-07-09,0.1539
2014-07-10,-1.0758
2014-07-11,0.3107
2014-07-14,-0.6195
2014-07-15,-0.8831
2014-07-16,0.2621
2014-07-17,-0.2091
2014-07-18,0.3667
2014-07-21,-1.096
2014-07-22,0.1055
2014-07-23,0.9489
2014-07-24,0.6789
2014-07-25,-0.9855
2014-07-28,0.1048
2014-07-29,-0.1047
2014-07-30,0.1572
2014-07-31,-1.2029
2014-08-01,0.3176
2014-08-04,-0.7388
2014-08-05,-1.3822
2014-08-06,0.1078
2014-08-07,0.1616
2014-08-08,2.0968
2014-08-11,1.0532
2014-08-12,-0.0521
2014-08-13,-0.4692
2014-08-14,0.8381
2014-08-15,0.5714
2014-08-18,1.0847
2014-08-19,0.3066
2014-08-20,0.2038
2014-08-21,-0.3559
2014-08-22,-1.0714
2014-08-25,0.4642
2014-08-26,1.4041000000000001
2014-08-27,-0.9744
2014-08-28,0.8804
2014-08-29,0.2053
2014-09-02,0.1537
2014-09-03,0.0512
2014-09-04,-1.7382
2014-09-05,-0.9365
2014-09-08,0.6303
2014-09-09,-0.4175
2014-09-10,-0.1048
2014-09-11,0.3673
2014-09-12,-2.8750999999999998
2014-09-15,-0.6459
2014-09-16,-6.6089
2014-09-17,-2.3202
2014-09-18,0.1188
2014-09-19,1.6606999999999998
2014-09-22,0.0583
2014-09-23,0.2332
2014-09-24,-0.1163
2014-09-25,-1.1648
2014-09-26,2.0035
2014-09-29,-0.0578
2014-09-30,1.0405
2014-10-01,-0.6865
2014-10-02,-0.6336
