ticker,BDGY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-10,250.0
2014-02-11,57.1429
2014-02-12,36.3636
2014-02-13,0.0
2014-02-14,20.0
2014-02-18,0.0
2014-02-21,0.0
2014-02-24,0.0
2014-03-06,-11.1111
2014-03-07,-6.25
2014-03-13,0.0
2014-03-26,-1.3333
2014-03-31,0.0
2014-04-09,21.6216
2014-04-11,-22.2222
2014-04-14,8.5714
2014-04-16,0.0
2014-04-21,-3.9474
2014-05-02,4.1096
2014-05-09,-1.3158
2014-05-13,6.6667
2014-05-15,-30.0
2014-05-21,0.0
2014-06-04,-3.5714
2014-06-09,1.8519
2014-06-10,3.4545
2014-06-11,-6.8541
2014-06-17,-1.8868
2014-07-15,7.6923
2014-07-16,1.7856999999999998
2014-07-23,1.7544
2014-07-29,-3.2759
2014-08-05,-5.5258
2014-08-07,0.0
2014-08-08,1.8868
2014-08-11,1.8519
2014-08-12,0.3636
2014-08-13,-2.1739
2014-08-14,0.0
2014-08-15,1.8519
2014-08-18,-2.0
2014-08-19,2.0408
2014-08-20,0.0
2014-08-21,0.0
2014-08-22,-0.9091
2014-08-25,2.7523
2014-08-26,5.0
2014-08-27,0.3401
2014-08-28,3.3898
2014-08-29,-0.8197
2014-09-02,4.1116
2014-09-03,-7.9182
2014-09-04,3.9655
2014-09-05,1.3267
2014-09-08,1.3093
2014-09-09,0.1616
2014-09-10,3.2258
2014-09-11,2.5
2014-09-12,-2.439
2014-09-15,4.0625
2014-09-16,3.4535
2014-09-17,0.1451
2014-09-18,-7.8986
2014-09-19,3.6978999999999997
2014-09-22,-4.4006
2014-09-23,1.5873
2014-09-24,-3.9063
2014-09-25,-7.3171
2014-09-26,-24.5614
2014-09-29,9.3023
2014-09-30,2.1277
2014-10-01,4.1667
2014-10-02,0.0
2014-10-03,5.4
2014-10-06,-3.2258
2014-10-07,-1.9607999999999999
2014-10-08,-4.0
2014-10-09,4.1667
2014-10-10,-2.0
2014-10-13,2.2449
2014-10-14,-20.1597
2014-10-15,14.9687
2014-10-16,-1.495
2014-10-17,0.4415
2014-10-20,-0.2198
2014-10-21,1.3216
2014-10-22,2.1739
2014-10-23,-6.3431
2014-10-24,5.6368
2014-10-27,-5.3763
2014-10-28,2.7273
2014-10-29,-0.4425
2014-10-30,-1.75
2014-10-31,-0.4806
2014-11-03,3.6364
2014-11-04,5.2632
2014-11-05,-5.2083
2014-11-06,3.2967
2014-11-07,-2.1277
2014-11-10,2.1739
2014-11-11,-4.2553
