ticker,CDEV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-25,0.0
2016-05-02,1.0
2016-05-05,-0.9889
2016-05-12,0.9987
2016-05-16,-0.5705
2016-05-17,-1.0977999999999999
2016-05-19,0.6834
2016-05-20,0.8
2016-05-23,-0.5965
2016-05-24,0.3007
2016-05-26,-0.4988
2016-05-31,0.4013
2016-06-01,-0.9761
2016-06-02,1.0863
2016-06-03,0.2985
2016-06-07,-0.1984
2016-06-08,-0.0994
2016-06-10,-0.398
2016-06-14,-0.1998
2016-06-16,6.006
2016-06-20,-6.5156
2016-06-21,-0.9091
2016-06-22,1.3252
2016-06-27,-1.4085
2016-06-29,0.0013
2016-06-30,-0.0013
2016-07-01,-1.0204
2016-07-05,1.2371
2016-07-06,-0.2037
2016-07-11,0.5102
2016-07-12,-0.5076
2016-07-13,1.0204
2016-07-14,0.0
2016-07-15,-0.5051
2016-07-19,3.0457
2016-07-20,0.4926
2016-07-21,0.0
2016-07-22,3.7267
2016-07-25,1.0385
2016-07-26,0.5613
2016-07-27,3.7209
2016-07-28,0.1312
2016-07-29,0.6751
2016-08-01,0.4448
2016-08-02,-0.0011
2016-08-03,-0.4418
2016-08-04,1.6014
2016-08-05,-0.0876
2016-08-08,0.0
2016-08-09,1.5776
2016-08-10,5.6083
2016-08-11,-0.3268
2016-08-12,1.2295
2016-08-15,-1.2146
2016-08-16,-0.4918
2016-08-17,-2.0593
2016-08-18,2.6071999999999997
2016-08-19,-1.3934
2016-08-22,0.0831
2016-08-23,-0.4983
2016-08-24,2.2538
2016-08-25,-0.4082
2016-08-26,-0.4098
2016-08-29,1.3992
2016-08-30,2.0698
2016-08-31,-0.2783
2016-09-01,3.2695
2016-09-02,-1.0811
2016-09-06,1.4832
2016-09-07,3.8462
2016-09-08,8.0
2016-09-09,0.3429
2016-09-12,-5.0581
2016-09-13,0.7919
2016-09-14,0.2143
2016-09-15,0.0713
2016-09-16,-0.3561
2016-09-19,0.4289
2016-09-20,0.4982
2016-09-21,0.2833
2016-09-22,1.2006000000000001
2016-09-23,0.2094
2016-09-26,0.5571
2016-09-27,-0.0693
2016-09-28,0.9702
2016-09-29,1.8531
2016-09-30,6.1321
2016-10-03,0.8254
2016-10-04,1.6373
2016-10-05,1.9207
2016-10-06,-1.5805
2016-10-07,-0.4324
2016-10-10,-2.2333
2016-10-11,0.6345
2016-10-12,3.4048
2016-10-13,-2.5
2016-10-14,-3.0644
2016-10-17,-2.3226
2016-10-18,-1.4531
