ticker,HHBT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-10-25,0.0
2001-01-10,0.0
2001-04-18,-90.0
2001-05-24,0.0
2002-10-08,28.0
2003-06-03,0.0
2003-12-05,0.0
2005-03-28,1275.0
2005-04-06,354.5455
2005-05-04,-40.0
2005-06-07,16.6667
2005-07-14,24.2038
2005-07-19,0.0
2005-07-21,-1.2821
2005-07-25,0.0
2005-07-27,-11.6883
2005-07-29,17.647100000000002
2005-08-01,12.5
2005-08-02,0.0
2005-08-03,0.0
2005-08-08,0.0
2005-08-09,-5.5556
2005-08-15,17.647100000000002
2005-08-16,-15.0
2005-08-30,41.1765
2005-08-31,-8.3333
2005-09-01,7.0909
2005-09-07,10.1868
2005-09-08,0.1541
2005-09-14,7.6923
2005-09-15,0.0
2005-09-19,0.0
2005-10-18,0.0
2005-11-04,0.0
2005-11-30,-12.1429
2005-12-19,4.065
2005-12-28,1.5625
2006-01-04,-15.3846
2006-01-20,4.5455
2006-01-23,2.6087
2006-01-24,0.0
2006-01-25,1.6949
2006-02-02,-4.1667
2006-02-08,0.0
2006-02-23,0.0
2006-02-24,0.0
2006-02-27,4.3478
2006-03-13,25.0
2006-03-14,20.0
2006-03-23,-2.7778
2006-03-24,0.0
2006-03-27,-8.5714
2006-03-28,6.25
2006-03-29,-8.2353
2006-03-30,0.0
2006-03-31,-1.2821
2006-04-03,-5.1948
2006-04-04,23.1507
2006-04-05,-3.2258
2006-04-06,2.9885
2006-04-07,-1.7856999999999998
2006-04-10,0.0
2006-04-11,13.6364
2006-04-12,5.0
2006-04-13,0.9524
2006-04-17,-5.6604
2006-04-18,0.0
2006-04-19,-1.0
2006-04-20,-1.0101
2006-04-27,7.1429
2006-04-28,4.7619
2006-05-01,10.0
2006-05-03,-4.1322
2006-05-04,2.5862
2006-05-08,3.3613
2006-05-09,0.0
2006-05-10,0.0
2006-05-12,-6.5041
2006-05-15,21.7391
2006-05-16,-10.7143
2006-05-17,1.6
2006-05-18,-3.9370000000000003
2006-05-19,-3.2787
2006-05-22,-6.7797
2006-05-23,0.9091
2006-05-24,-9.9099
2006-05-25,3.0
2006-05-26,10.6796
2006-06-01,-0.8772
2006-06-05,1.7699
2006-06-06,-10.4348
2006-06-08,0.9709
2006-06-12,1.9231
2006-06-13,-0.1887
2006-06-14,1.6068
2006-06-15,-0.4651
2006-06-16,2.8037
2006-06-19,-0.4545
2006-06-20,2.1005
2006-06-21,-1.1628
2006-06-22,0.4525
2006-06-23,7.2072
