ticker,SENEB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,0.0
2000-01-05,0.0
2000-01-06,-1.087
2000-01-07,1.0989
2000-01-10,-1.6303999999999998
2000-01-11,-0.5525
2000-01-12,0.5556
2000-01-13,-1.6575
2000-01-14,0.5618
2000-01-19,-1.1173
2000-01-21,0.565
2000-01-24,1.1236
2000-01-25,-1.1111
2000-01-26,0.0
2000-01-28,0.0
2000-02-01,1.1236
2000-02-02,-1.1111
2000-02-03,0.0
2000-02-07,0.0
2000-02-09,-2.2472
2000-02-11,-1.1494
2000-02-16,0.0
2000-02-18,0.0
2000-02-22,2.3256
2000-02-23,-2.2727
2000-02-24,0.0
2000-02-25,3.4884
2000-03-01,-1.1236
2000-03-02,3.4091
2000-03-03,1.0989
2000-03-06,-4.3478
2000-03-07,0.0
2000-03-08,0.0
2000-03-10,0.0
2000-03-13,1.1364
2000-03-21,0.0
2000-03-23,0.0
2000-03-27,-1.1236
2000-03-31,2.2727
2000-04-05,-1.1111
2000-04-06,0.0
2000-04-10,-1.1236
2000-04-11,1.1364
2000-04-12,-1.1236
2000-04-14,0.0
2000-04-17,1.1364
2000-04-20,-1.1236
2000-04-24,1.1364
2000-04-26,-1.1236
2000-04-27,0.0
2000-04-28,1.1364
2000-05-01,6.7416
2000-05-02,2.1053
2000-05-03,-2.0619
2000-05-05,-3.1579
2000-05-08,-3.2609
2000-05-10,1.1236
2000-05-11,0.0
2000-05-12,6.6667
2000-05-16,0.0
2000-05-19,-4.1667
2000-05-23,-1.087
2000-05-24,1.0989
2000-05-31,-3.2609
2000-06-12,-1.1236
2000-06-15,0.0
2000-06-20,0.5682
2000-06-21,-2.8249
2000-06-23,0.0
2000-06-26,12.7907
2000-06-27,1.0309
2000-06-29,-3.0612
2000-07-05,3.1579
2000-07-07,-1.0204
2000-07-10,0.0
2000-07-11,2.0619
2000-07-13,3.0303
2000-07-17,1.9607999999999999
2000-07-19,0.9615
2000-07-20,0.0
2000-07-21,-0.9524
2000-07-26,0.0
2000-07-27,0.0
2000-07-28,-1.9231
2000-07-31,3.9215999999999998
2000-08-03,-1.8868
2000-08-04,0.4808
2000-08-08,7.177
2000-08-09,5.3571
2000-08-14,-11.8644
2000-08-15,0.4808
2000-08-25,-0.4785
2000-08-29,0.0
2000-08-30,0.0
2000-08-31,0.0
2000-09-01,0.0
2000-09-06,0.0
2000-09-07,1.9231
2000-09-08,0.0
2000-09-12,3.7736
2000-09-13,-4.5455
