ticker,HPP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-24,2.3529
2010-06-25,1.2069
2010-06-28,-0.9086
2010-06-29,-0.6877
2010-06-30,-0.4616
2010-07-01,-1.4493
2010-07-02,-0.0588
2010-07-06,-1.6480000000000001
2010-07-07,-1.0772
2010-07-08,-0.8469
2010-07-09,0.6711
2010-07-12,-0.6061
2010-07-13,2.1951
2010-07-14,0.0597
2010-07-15,-0.4174
2010-07-16,-0.8982
2010-07-19,-3.3233
2010-07-20,0.0625
2010-07-21,-0.9369
2010-07-22,1.8285
2010-07-23,0.0
2010-07-26,1.6718
2010-07-27,-0.9744
2010-07-28,-0.984
2010-07-29,1.2422
2010-07-30,0.9816
2010-08-02,1.7618
2010-08-03,-0.2985
2010-08-04,0.4192
2010-08-05,-1.0137
2010-08-06,0.241
2010-08-09,-0.2404
2010-08-10,0.241
2010-08-11,-2.2236
2010-08-12,0.0
2010-08-13,1.9668
2010-08-16,-0.5425
2010-08-17,0.6061
2010-08-18,-1.0241
2010-08-19,0.913
2010-08-20,0.4825
2010-08-23,-1.0804
2010-08-24,-0.7888
2010-08-25,0.367
2010-08-26,-0.3656
2010-08-27,0.7951
2010-08-30,-1.0922
2010-08-31,0.9816
2010-09-01,0.243
2010-09-02,-0.8485
2010-09-03,1.467
2010-09-07,-1.2651
2010-09-08,0.5491
2010-09-09,-0.6675
2010-09-10,0.2443
2010-09-13,0.975
2010-09-14,0.0604
2010-09-15,0.1206
2010-09-16,1.988
2010-09-17,-2.1855
2010-09-20,2.2343
2010-09-21,0.0
2010-09-22,-1.3585
2010-09-23,-0.8982
2010-09-24,-2.1148
2010-09-27,1.1728
2010-09-28,-1.299
2010-09-29,0.4353
2010-09-30,1.3622
2010-10-01,0.3665
2010-10-04,-0.3652
2010-10-05,-0.1833
2010-10-06,1.1016
2010-10-07,-1.2711999999999999
2010-10-08,0.4905
2010-10-11,-0.5491
2010-10-12,-0.7975
2010-10-13,1.2368999999999999
2010-10-14,-0.4887
2010-10-15,-0.0614
2010-10-18,-0.1843
2010-10-19,-1.2923
2010-10-20,0.5611
2010-10-21,-0.186
2010-10-22,0.1242
2010-10-25,-0.1241
2010-10-26,-0.4969
2010-10-27,-0.6242
2010-10-28,0.0628
2010-10-29,0.4394
2010-11-01,-0.1875
2010-11-02,-0.1252
2010-11-03,0.3135
2010-11-04,1.0625
2010-11-05,-1.175
2010-11-08,2.0025
2010-11-09,-3.3129
2010-11-10,1.3959
2010-11-11,0.1252
