ticker,OTED US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-24,-20.0
2008-09-08,-37.5
2008-10-06,20.0
2008-12-04,3.3333
2009-03-24,-77.4194
2009-12-17,328.5714
2010-01-08,66.6667
2010-01-11,-10.0
2010-01-13,-11.1111
2010-01-15,0.0
2010-01-21,25.0
2010-03-26,40.0
2010-06-09,-28.5714
2010-06-10,0.0
2010-06-29,0.0
2010-07-20,0.0
2010-08-10,0.0
2010-09-02,0.0
2010-09-27,0.0
2010-10-14,0.4
2010-10-15,-0.3984
2010-10-18,0.0
2010-10-20,0.0
2010-10-29,40.0
2010-11-03,-28.5714
2010-11-08,0.0
2010-11-09,0.0
2010-11-24,0.0
2010-12-09,8.0
2010-12-10,11.1111
2010-12-14,-16.6667
2010-12-20,10.0
2010-12-31,0.0
2011-01-07,0.0
2011-03-01,-9.0909
2011-04-08,0.0
2011-04-15,34.0
2011-06-08,14.9254
2011-06-13,-22.0779
2011-06-14,-16.6667
2011-06-17,-10.0
2011-06-22,-11.1111
2011-07-25,-10.0
2011-08-01,-2.7778
2011-08-11,-40.0
2011-08-12,-3.8095
2011-08-16,0.0
2011-09-02,-22.7723
2011-09-23,-3.2051
2011-09-28,-0.6623
2011-09-29,34.6667
2011-10-05,0.0
2011-10-24,-49.505
2011-11-17,-41.1765
2012-02-17,100.0
2013-01-14,16.6667
2013-06-19,0.0
2013-09-10,-27.1429
2016-01-07,47.0588
2016-01-08,0.0
2016-01-15,-20.0
2016-01-21,0.0
2016-01-26,0.0
2016-01-27,0.0
2016-01-29,-8.3333
2016-02-01,0.0
2016-02-02,-7.2727
2016-02-03,0.0
2016-12-01,0.0
2017-03-02,-11.7647
2018-10-10,2.2222
2019-01-10,0.0
2019-04-03,-13.0435
2019-04-10,27.5
2019-04-17,-31.3725
2019-05-01,-42.8571
2019-10-03,20.0
2019-10-07,-8.2917
2019-10-17,-31.8492
2020-03-10,-32.6667
2020-07-24,0.0
