ticker,IDXX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.3876
2000-01-04,-8.9494
2000-01-05,2.9915000000000003
2000-01-06,-0.4149
2000-01-07,5.4167
2000-01-10,3.5573
2000-01-11,8.3969
2000-01-12,-1.4085
2000-01-13,1.4285999999999999
2000-01-14,-0.3521
2000-01-18,-3.1802
2000-01-19,-1.4599
2000-01-20,-2.2222
2000-01-21,-0.7576
2000-01-24,-1.9083999999999999
2000-01-25,-5.8366
2000-01-26,5.3719
2000-01-27,-1.9607999999999999
2000-01-28,2.4
2000-01-31,-5.8594
2000-02-01,7.8838
2000-02-02,1.1538
2000-02-03,6.4639
2000-02-04,1.0714
2000-02-07,1.4134
2000-02-08,5.2265
2000-02-09,-4.9669
2000-02-10,0.3484
2000-02-11,-0.1736
2000-02-14,1.913
2000-02-15,-1.0239
2000-02-16,11.7241
2000-02-17,1.8519
2000-02-18,-3.6364
2000-02-22,2.5157
2000-02-23,12.8834
2000-02-24,5.7065
2000-02-25,15.9383
2000-02-28,1.3304
2000-02-29,3.5011
2000-03-01,-1.4799
2000-03-02,-1.5021
2000-03-03,1.0893
2000-03-06,-2.1552
2000-03-07,-2.4229
2000-03-08,1.1287
2000-03-09,1.7856999999999998
2000-03-10,-1.9737
2000-03-13,-5.1454
2000-03-14,-3.5377
2000-03-15,4.401
2000-03-16,5.6206
2000-03-17,-8.4257
2000-03-20,2.1792
2000-03-21,2.6066000000000003
2000-03-22,0.0
2000-03-23,0.0
2000-03-24,-0.6928
2000-03-27,-0.3488
2000-03-28,-2.217
2000-03-29,-2.6253
2000-03-30,-13.7255
2000-03-31,5.9658999999999995
2000-04-03,-1.6086
2000-04-04,-4.0872
2000-04-05,0.8523
2000-04-06,6.7606
2000-04-07,-3.1662
2000-04-10,-4.3597
2000-04-11,-2.849
2000-04-12,2.0528
2000-04-13,2.2989
2000-04-14,6.4607
2000-04-17,7.124
2000-04-18,-2.2167
2000-04-19,-0.7557
2000-04-20,4.5685
2000-04-24,-3.3981
2000-04-25,0.2513
2000-04-26,1.2530999999999999
2000-04-27,0.495
2000-04-28,3.4483
2000-05-01,7.1429
2000-05-02,-5.5556
2000-05-03,-4.7059
2000-05-04,0.7407
2000-05-05,1.4706000000000001
2000-05-08,4.3478
2000-05-09,-0.463
2000-05-10,-3.9535
2000-05-11,4.3584
2000-05-12,-0.6961
2000-05-15,2.3364
2000-05-16,0.9132
2000-05-17,-3.1673999999999998
2000-05-18,-3.0374
2000-05-19,0.241
