ticker,APTY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-17,0.0
2015-11-19,0.0
2015-11-20,0.0
2015-12-03,0.0
2015-12-04,1.3333
2015-12-07,-13.1579
2015-12-08,15.1515
2015-12-10,2.6316
2015-12-11,1.2821
2015-12-14,-0.0633
2015-12-15,0.0
2015-12-16,0.0633
2015-12-17,0.0
2015-12-18,0.0
2015-12-21,0.0
2015-12-28,-11.3924
2016-01-04,12.857099999999999
2016-01-05,2.5316
2016-01-06,0.0
2016-01-07,-0.0849
2016-01-08,-2.3863
2016-01-12,-2.5316
2016-01-13,-6.4935
2016-01-14,-16.6667
2016-01-15,-16.6667
2016-01-19,10.0
2016-01-21,-18.1818
2016-01-22,2.2222
2016-01-25,-2.1739
2016-01-26,-4.4444
2016-01-28,-6.9767
2016-01-29,0.0
2016-02-04,-12.5
2016-02-05,0.0
2016-02-08,-2.8571
2016-02-09,-27.0588
2016-02-10,90.7258
2016-02-11,-15.4334
2016-02-12,-1.9062999999999999
2016-02-16,-0.6053
2016-02-17,0.0
2016-02-22,2.5641
2016-02-26,-25.0
2016-02-29,0.0
2016-03-01,-46.6667
2016-03-02,25.0
2016-03-03,16.0
2016-03-04,7.7586
2016-03-07,16.0
2016-03-08,-20.6897
2016-03-09,1.3043
2016-03-10,-1.2876
2016-03-11,4.2935
2016-03-14,-16.6754
2016-03-15,0.0
2016-03-16,-1.9386999999999999
2016-03-17,-64.2857
2016-03-21,57.1429
2016-03-22,9.0909
2016-03-23,-25.0
2016-03-24,0.0
2016-03-28,3.3333
2016-03-30,-17.2043
2016-04-01,26.7857
2016-04-04,-10.8835
2016-04-05,-11.4943
2016-04-06,-1.2987
2016-04-07,5.2632
2016-04-11,-5.0
2016-04-12,4.1941
2016-04-13,-1.4996
2016-04-14,15.3846
2016-04-15,-2.7778
2016-04-18,1.7143000000000002
2016-04-19,-3.3708
2016-04-20,-6.9767
2016-04-21,-3.9844
2016-04-22,-8.869
2016-04-25,-21.4286
2016-04-26,12.5
2016-04-27,9.899000000000001
2016-04-28,-11.5809
2016-04-29,-28.4823
2016-05-02,-25.5814
2016-05-03,-3.125
2016-05-04,3.2258
2016-05-05,-6.25
2016-05-06,0.0
2016-05-09,-6.6667
2016-05-10,-7.1429
2016-05-11,-23.0769
2016-05-12,0.0
2016-05-17,25.0
2016-05-18,20.0
2016-05-19,-33.3333
2016-05-23,25.0
2016-05-25,-20.0
2016-05-26,-20.0
2016-05-31,0.0
2016-06-01,25.0
