ticker,PSACU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-22,0.3
2020-07-23,-0.4985
2020-07-24,0.1002
2020-07-27,0.1001
2020-07-28,0.1
2020-07-29,-0.0999
2020-07-30,-0.201
2020-07-31,-0.2695
