ticker,OBLG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.7037
2000-01-04,2.3810000000000002
2000-01-05,11.6279
2000-01-06,-2.0833
2000-01-07,-2.1277
2000-01-10,13.0435
2000-01-11,-7.6923
2000-01-12,0.0
2000-01-13,4.1667
2000-01-14,2.0
2000-01-18,-5.8824
2000-01-19,8.3333
2000-01-20,-1.9231
2000-01-21,-1.9607999999999999
2000-01-24,2.0
2000-01-25,10.7843
2000-01-26,9.7345
2000-01-27,8.0645
2000-01-28,1.4925
2000-01-31,2.9412000000000003
2000-02-01,-3.5714
2000-02-02,-3.7037
2000-02-03,1.5385
2000-02-04,-6.8182
2000-02-07,4.065
2000-02-08,0.0
2000-02-09,23.4375
2000-02-10,11.3924
2000-02-11,22.7273
2000-02-14,29.6296
2000-02-15,-9.2857
2000-02-16,-2.3622
2000-02-17,-8.0645
2000-02-18,-3.5088
2000-02-22,14.5455
2000-02-23,-6.3492
2000-02-24,-5.0847
2000-02-25,-13.8393
2000-02-28,-2.5907
2000-02-29,2.1277
2000-03-01,7.2917
2000-03-02,0.9709
2000-03-03,-2.8846
2000-03-06,4.9505
2000-03-07,-1.8868
2000-03-08,16.3462
2000-03-09,4.1322
2000-03-10,-3.1746
2000-03-13,-6.5574
2000-03-14,-6.1404
2000-03-15,-4.6729
2000-03-16,-3.9215999999999998
2000-03-17,3.0612
2000-03-20,-1.9802
2000-03-21,-5.0505
2000-03-22,1.0638
2000-03-23,12.6316
2000-03-24,6.5421
2000-03-27,10.526299999999999
2000-03-28,-15.873
2000-03-29,-5.6604
2000-03-30,-6.0
2000-03-31,-6.383
2000-04-03,-3.4091
2000-04-04,-5.8824
2000-04-05,-5.0
2000-04-06,0.0
2000-04-07,19.7368
2000-04-10,1.0989
2000-04-11,-10.8696
2000-04-12,-7.3171
2000-04-13,-13.1579
2000-04-14,-30.303
2000-04-17,-2.1739
2000-04-18,11.1111
2000-04-19,8.0
2000-04-20,0.0
2000-04-24,-3.7037
2000-04-25,7.6923
2000-04-26,-3.5714
2000-04-27,14.8148
2000-04-28,7.2581
2000-05-01,8.2707
2000-05-02,-8.3333
2000-05-03,-7.5758
2000-05-04,4.918
2000-05-05,0.0
2000-05-08,1.5625
2000-05-09,-1.5385
2000-05-10,-6.25
2000-05-11,6.6667
2000-05-12,4.6875
2000-05-15,-1.4925
2000-05-16,2.2727
2000-05-17,2.2222
2000-05-18,2.8986
2000-05-19,-2.8169
2000-05-22,-15.5797
2000-05-23,-7.2961
