ticker,APYP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-16,0.0
2014-12-24,0.0
2015-01-05,0.0
2015-03-20,0.0
2015-03-23,-1.9607999999999999
2015-03-24,-1.0
2015-03-26,1.0101
2015-03-30,0.0
2015-04-07,-8.0
2015-04-13,3.2609
2015-04-14,-5.2632
2015-04-15,-42.2222
2015-04-16,15.3846
2015-04-17,-33.3333
2015-04-24,27.5
2015-05-29,-58.8235
2015-06-01,-4.7619
2015-06-03,-3.0
2015-06-04,8.2474
2015-06-10,-4.7619
2015-06-11,-13.1875
2015-06-16,-48.1641
2015-06-17,-11.1111
2015-06-18,6.25
2015-06-19,11.7647
2015-06-22,57.8947
2015-06-23,0.0
2015-06-24,-13.3333
2015-06-26,-15.3846
2015-06-29,0.0
2015-06-30,9.0909
2015-07-13,8.3333
2015-07-15,-38.4615
2015-07-16,50.0
2015-07-21,-8.3333
2015-07-23,-4.5455
2015-07-27,0.0
2015-07-31,-33.3333
2015-08-03,32.1429
2015-08-04,-24.3243
2015-08-06,0.0
2015-08-11,32.1429
2015-08-13,-24.3243
2015-08-14,-28.5714
2015-08-27,10.0
2015-08-31,-9.0909
2015-09-01,0.0
2015-09-02,5.0
2015-09-03,-6.6667
2015-09-04,-10.2041
2015-09-08,-9.0909
2015-09-09,0.0
2015-09-11,20.0
2015-09-14,12.8906
2015-09-15,1.1534
2015-09-16,-9.008
2015-09-17,-39.8496
2015-09-18,0.0
2015-09-21,0.0
2015-09-22,10.0
2015-09-23,-8.7121
2015-09-24,22.1992
2015-09-29,-45.6706
2015-09-30,-5.625
2015-10-01,-20.5298
2015-10-02,-65.8333
2015-10-05,4.878
2015-10-06,-44.186
2015-10-07,466.6667
2015-10-08,-11.7647
2015-10-09,-7.9167
2015-10-12,11.3122
2015-10-13,-28.4553
2015-10-14,4.5455
2015-10-15,-14.6739
2015-10-16,-8.2803
2015-10-19,-33.3333
2015-10-20,-31.25
2015-10-21,21.2121
2015-10-22,5.0
2015-10-23,-23.8095
2015-10-26,-4.6875
2015-10-27,9.8361
2015-10-28,16.4179
2015-10-29,2.5641
2015-10-30,30.0
2015-11-02,-15.3846
2015-11-03,9.0909
2015-11-04,25.0
2015-11-05,6.6667
2015-11-06,-1.5625
2015-11-09,1.5873
2015-11-10,-6.25
2015-11-11,-8.3333
2015-11-12,-27.2727
2015-11-13,2.5
2015-11-16,-9.7561
2015-11-17,-13.5135
2015-11-18,0.0
2015-11-19,35.9375
2015-11-20,3.4483
