ticker,GBIO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-12,29.947400000000002
2020-06-15,-7.3309
2020-06-16,-12.1503
2020-06-17,4.2289
2020-06-18,3.3413
2020-06-19,1.2009
2020-06-22,7.257
2020-06-23,1.0638
2020-06-24,-4.2105
2020-06-25,0.4835
2020-06-26,-4.4619
2020-06-29,-0.5952
2020-06-30,-3.2704
2020-07-01,-6.9524
2020-07-02,0.1024
2020-07-06,0.409
2020-07-07,0.5601
2020-07-08,-2.8354
2020-07-09,-1.0422
2020-07-10,3.7915
2020-07-13,-8.3206
2020-07-14,0.4981
2020-07-15,2.2026
2020-07-16,2.4246
2020-07-17,17.7801
2020-07-20,2.1885
2020-07-21,-2.1853
2020-07-22,-4.3342
2020-07-23,-3.4096
2020-07-24,-2.9497
2020-07-27,-1.2955
2020-07-28,2.6249000000000002
2020-07-29,-0.6394
2020-07-30,-0.297
2020-07-31,-2.4826
