ticker,SJW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.0915
2000-01-04,-0.1576
2000-01-05,0.0
2000-01-06,-0.3158
2000-01-07,0.1056
2000-01-10,-0.211
2000-01-11,0.2114
2000-01-12,-0.1055
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,-0.2112
2000-01-19,-1.164
2000-01-20,0.0
2000-01-21,0.9636
2000-01-24,-0.5302
2000-01-25,-0.2132
2000-01-26,-0.8547
2000-01-27,-1.7241
2000-01-28,-0.8772
2000-01-31,2.8761
2000-02-01,-0.2151
2000-02-02,0.431
2000-02-03,-1.7167
2000-02-04,0.1004
2000-02-07,0.0
2000-02-08,-0.4386
2000-02-09,-0.8811
2000-02-10,-0.3333
2000-02-11,0.3344
2000-02-14,-1.1111
2000-02-15,-0.2247
2000-02-16,0.6757
2000-02-17,0.0
2000-02-18,0.0
2000-02-22,0.6711
2000-02-23,1.3333
2000-02-24,-0.6579
2000-02-25,0.6623
2000-02-28,-0.4386
2000-02-29,-0.7709
2000-03-01,0.9989
2000-03-02,-1.978
2000-03-03,0.0
2000-03-06,0.9529
2000-03-07,3.9423
2000-03-08,0.0
2000-03-09,-2.1368
2000-03-10,-1.7467000000000001
2000-03-13,-0.7778
2000-03-14,1.1198
2000-03-15,-1.8272
2000-03-16,1.3536000000000001
2000-03-17,1.9477
2000-03-20,-1.5284
2000-03-21,-0.1109
2000-03-22,-0.5549
2000-03-23,1.7856999999999998
2000-03-24,0.0
2000-03-27,0.8772
2000-03-28,-1.7391
2000-03-29,0.885
2000-03-30,0.0
2000-03-31,2.6316
2000-04-03,-1.7094
2000-04-04,0.8696
2000-04-05,0.8621
2000-04-06,-1.7094
2000-04-07,0.0
2000-04-10,0.8696
2000-04-11,0.6466
2000-04-13,0.5353
2000-04-14,-1.5974
2000-04-17,1.6234
2000-04-18,-2.0234
2000-04-19,0.0
2000-04-20,0.8696
2000-04-24,0.0
2000-04-25,0.0
2000-04-26,0.0
2000-04-27,-0.3319
2000-04-28,0.6522
2000-05-01,-0.216
2000-05-02,-0.8658
2000-05-03,0.4367
2000-05-04,0.0
2000-05-05,0.8696
2000-05-08,-0.431
2000-05-09,-0.4329
2000-05-10,0.0
2000-05-11,0.3261
2000-05-15,-0.325
2000-05-16,-0.2174
2000-05-17,-0.1089
2000-05-18,0.3272
2000-05-19,-0.2174
2000-05-22,0.0
2000-05-23,0.6536
2000-05-24,0.6494
2000-05-25,-0.5914
2000-05-26,-0.4867
