ticker,AMCX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-06-17,-1.2398
2011-06-20,-0.2853
2011-06-21,0.1431
2011-06-22,1.5429
2011-06-23,-1.5194
2011-06-24,1.5714000000000001
2011-06-27,1.8565
2011-06-28,3.5625999999999998
2011-06-29,6.4267
2011-06-30,8.9952
2011-07-01,-8.3908
2011-07-05,-3.3124000000000002
2011-07-06,0.6553
2011-07-07,1.9016
2011-07-08,-2.4798
2011-07-11,-3.8402
2011-07-12,-0.027
2011-07-13,-0.108
2011-07-14,0.6485
2011-07-15,-0.4295
2011-07-18,-1.6985999999999999
2011-07-19,1.3988
2011-07-20,0.9467
2011-07-21,2.5991
2011-07-22,-2.0371
2011-07-25,0.3199
2011-07-26,-0.0266
2011-07-27,-0.7177
2011-07-28,0.2677
2011-07-29,-0.6943
2011-08-01,0.2958
2011-08-02,-0.7775
2011-08-03,-2.3507
2011-08-04,-3.0437
2011-08-05,0.5137
2011-08-08,-12.8052
2011-08-09,1.1397
2011-08-10,-2.5113
2011-08-11,13.3091
2011-08-12,-1.8653
2011-08-15,0.9207
2011-08-16,1.6775
2011-08-17,-0.1737
2011-08-18,-4.4361
2011-08-19,0.2731
2011-08-22,-2.4811
2011-08-23,2.5752
2011-08-24,1.9964
2011-08-25,-1.3642
2011-08-26,3.1269
2011-08-29,1.516
2011-08-30,4.7961
2011-08-31,1.3976
2011-09-01,-2.8649
2011-09-02,-5.3422
2011-09-06,-3.3804
2011-09-07,3.3465
2011-09-08,-1.6484999999999999
2011-09-09,-1.287
2011-09-12,-0.5458
2011-09-13,3.1402
2011-09-14,7.1534
2011-09-15,0.2207
2011-09-16,0.0551
2011-09-19,0.3026
2011-09-20,-1.2891
2011-09-21,-1.4171
2011-09-22,-4.1432
2011-09-23,0.2646
2011-09-26,0.9091
2011-09-27,-1.1043
2011-09-28,-1.8218999999999999
2011-09-29,-0.6585
2011-09-30,-3.7361
2011-10-03,-1.5335999999999999
2011-10-04,-1.494
2011-10-05,0.0323
2011-10-06,5.4839
2011-10-07,-0.2141
2011-10-10,1.471
2011-10-11,-0.8759
2011-10-12,-4.0219
2011-10-13,0.0
2011-10-14,3.3333
2011-10-17,0.5837
2011-10-18,2.5962
2011-10-19,1.3992
2011-10-20,-1.0863
2011-10-21,0.4452
2011-10-24,0.7388
2011-10-25,-2.9627
2011-10-26,0.8162
2011-10-27,1.9489999999999998
2011-10-28,-1.5
2011-10-31,-2.5978
2011-11-01,-4.1692
2011-11-02,4.7985
