ticker,GTH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-19,0.0
2020-06-22,-2.25
2020-06-23,-8.1841
2020-06-24,-13.0919
2020-06-25,7.6923
2020-06-26,-4.6875
2020-06-29,-11.8657
2020-06-30,6.9088
2020-07-01,-1.9056
2020-07-02,9.8818
2020-07-06,6.1491
2020-07-07,0.0
2020-07-08,0.6517
2020-07-09,-6.1871
2020-07-10,5.6748
2020-07-13,1.9594
2020-07-14,5.3381
2020-07-15,6.0135
2020-07-16,-1.912
2020-07-17,2.729
2020-07-20,-6.1354
2020-07-21,1.4825
2020-07-22,-9.9602
2020-07-23,5.3835
2020-07-24,-2.7292
2020-07-27,0.0
2020-07-28,-2.7338
2020-07-29,2.8106999999999998
2020-07-30,0.0
2020-07-31,2.8777
