ticker,CLFD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-12.5
2000-01-04,-14.2857
2000-01-05,29.0323
2000-01-06,-7.5
2000-01-07,13.5135
2000-01-10,2.3810000000000002
2000-01-11,-4.6512
2000-01-12,0.0
2000-01-13,-5.6911000000000005
2000-01-14,-2.5862
2000-01-18,36.2832
2000-01-19,15.9091
2000-01-20,-5.8824
2000-01-21,8.631
2000-01-24,1.0959
2000-01-25,7.3171
2000-01-26,0.0
2000-01-27,-2.5253
2000-01-28,-10.8808
2000-01-31,-7.5581
2000-02-01,4.4025
2000-02-02,37.9518
2000-02-03,5.6769
2000-02-04,16.5289
2000-02-07,53.9007
2000-02-08,-11.4055
2000-02-09,6.1118
2000-02-10,-11.7647
2000-02-11,-7.7778
2000-02-14,18.6747
2000-02-15,-10.9137
2000-02-16,5.1282
2000-02-17,-2.5745
2000-02-18,-4.0334
2000-02-22,-7.2464
2000-02-23,3.75
2000-02-24,-2.4096
2000-02-25,14.1975
2000-02-28,17.8378
2000-02-29,-7.7982
2000-03-01,2.4876
2000-03-02,-8.0097
2000-03-03,2.9024
2000-03-06,5.8974
2000-03-07,-7.0218
2000-03-08,-3.9063
2000-03-09,-4.607
2000-03-10,1.7045
2000-03-13,-1.1173
2000-03-14,-7.3446
2000-03-15,-16.7683
2000-03-16,0.3663
2000-03-17,11.6788
2000-03-20,-11.7647
2000-03-21,-8.3333
2000-03-22,0.404
2000-03-23,-0.2012
2000-03-24,0.0
2000-03-27,-2.4194
2000-03-28,-11.157
2000-03-29,-7.907
2000-03-30,-4.0404
2000-03-31,23.6842
2000-04-03,-2.9787
2000-04-04,-12.7193
2000-04-05,0.5025
2000-04-06,9.0
2000-04-07,27.0642
2000-04-10,-13.3574
2000-04-11,-5.0
2000-04-12,-8.7719
2000-04-13,-15.8654
2000-04-14,-31.4286
2000-04-17,6.6667
2000-04-18,25.7813
2000-04-19,9.3168
2000-04-20,4.5455
2000-04-24,-12.5
2000-04-25,3.7267
2000-04-26,8.6826
2000-04-27,-4.1322
2000-04-28,0.0
2000-05-01,1.4368
2000-05-02,-0.8499
2000-05-03,-10.857099999999999
2000-05-04,8.9744
2000-05-05,-1.7647
2000-05-08,1.6467
2000-05-09,-6.0383
2000-05-10,-3.4483
2000-05-11,2.5974
2000-05-12,-0.3165
2000-05-15,-3.4920999999999998
2000-05-16,-0.9868
2000-05-17,-0.3322
2000-05-18,-2.6667
2000-05-19,-10.9589
2000-05-22,-3.4615
