ticker,CYBA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-26,6.8182
2000-01-31,-12.766
2000-02-01,6.0976
2000-03-13,5.7471
2000-03-23,2.1739
2000-03-24,-6.383
2000-03-27,0.0
2000-04-03,-4.5455
2000-05-01,4.7619
2000-05-04,1.1364
2000-05-05,-1.1236
2000-05-08,0.0
2000-05-10,0.0
2000-05-11,0.0
2000-05-22,1.1364
2000-06-16,-1.1236
2000-06-21,0.0
2000-06-26,0.0
2000-07-05,0.0
2000-07-06,0.0
2000-07-07,1.1364
2000-07-19,0.0
2000-07-27,-1.1236
2000-08-10,1.1364
2000-10-12,1.1236
2000-10-19,0.5333
2000-12-21,32.626
2001-01-22,-25.8333
2001-01-31,0.0
2001-03-20,0.0
2001-03-21,0.0
2001-03-29,48.3146
2001-04-02,-31.8182
2001-04-04,-1.1111
2001-04-11,-1.1236
2001-04-19,36.3636
2001-04-20,0.0
2001-04-26,0.0
2001-05-30,-13.3333
2001-07-24,0.0
2001-09-06,7.6923
2001-09-10,-7.1429
2001-09-25,-6.9231
2001-09-26,0.0
2001-09-27,1.2397
2001-10-04,-1.2245
2001-10-08,19.8347
2001-11-20,-3.4483
2001-12-06,-3.5714
2001-12-26,1.4815
2002-02-21,0.365
2002-02-27,1.8182
2002-03-04,7.1429
2002-03-05,-9.6667
2002-03-11,7.0111
2002-03-25,1.7241
2002-03-27,15.2542
2002-04-02,0.0
2002-05-01,5.0
2002-05-10,4.4118
2002-07-18,23.3803
2002-07-25,-22.3744
2002-09-04,7.9412
2002-09-13,8.9918
2002-09-18,0.0
2002-09-20,-5.0
2002-09-25,5.2632
2002-10-14,-5.0
2002-10-17,5.2632
2002-10-30,-6.75
2002-11-12,-10.992
2002-11-15,2.4096
2002-11-22,10.2941
2002-11-25,-1.3333
2002-11-27,1.3514
2002-12-03,-1.3333
2002-12-11,-2.7027
2002-12-12,0.0
2002-12-19,5.5556
2002-12-20,0.0
2002-12-27,-5.2632
2002-12-31,2.7778
2003-01-02,2.7027
2003-01-03,2.6316
2003-01-16,0.0
2003-01-28,0.0
2003-02-12,-5.1282
2003-03-19,0.0
2003-03-20,0.0
2003-04-10,13.5135
2003-04-11,2.5
2003-04-16,7.3171
2003-04-21,0.0
2003-05-07,4.5455
2003-05-08,4.3478
2003-05-09,-7.2917
2003-05-12,3.3708
2003-05-13,2.1739
2003-05-19,2.0851
2003-05-21,1.0838
2003-05-22,-1.0309
2003-05-23,4.1667
2003-06-06,0.0
