ticker,PEGX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.5575
2000-01-04,-7.6772
2000-01-05,-4.5487
2000-01-06,4.9888
2000-01-07,2.1277
2000-01-10,8.0556
2000-01-11,9.6401
2000-01-12,-11.9578
2000-01-13,8.988
2000-01-14,0.4276
2000-01-18,-4.7445
2000-01-19,4.2783999999999995
2000-01-20,0.9186
2000-01-21,8.7379
2000-01-24,0.4464
2000-01-25,-2.3889
2000-01-26,3.8133
2000-01-27,3.7281
2000-01-28,-6.0254
2000-01-31,-0.6749
2000-02-01,5.5493
2000-02-02,5.6867
2000-02-03,2.2335
2000-02-04,-1.8868
2000-02-07,1.8218999999999999
2000-02-08,0.9443
2000-02-09,4.3821
2000-02-10,1.9340000000000002
2000-02-11,2.9153000000000002
2000-02-14,2.0683
2000-02-15,-0.5286
2000-02-16,-4.6501
2000-02-17,-11.6582
2000-02-18,-11.1462
2000-02-22,4.142
2000-02-23,0.0
2000-02-24,7.8408999999999995
2000-02-25,2.2655
2000-02-28,1.391
2000-02-29,0.813
2000-03-01,9.6774
2000-03-02,-0.7353
2000-03-03,2.5
2000-03-06,-6.0072
2000-03-07,-4.469
2000-03-08,3.3199
2000-03-09,2.0448
2000-03-10,6.9656
2000-03-13,-2.6762
2000-03-14,0.4583
2000-03-15,-2.3266
2000-03-16,-0.6539
2000-03-17,-1.2224
2000-03-20,-4.6168
2000-03-21,2.2455
2000-03-22,0.5368
2000-03-23,9.4175
2000-03-24,4.614
2000-03-27,3.7744
2000-03-28,-3.8823
2000-03-29,-2.5298
2000-03-30,-1.6358000000000001
2000-03-31,-0.133
2000-04-03,-7.4156
2000-04-04,-5.3717
2000-04-05,8.667
2000-04-06,4.944
2000-04-07,6.6222
2000-04-10,-6.7945
2000-04-11,-5.1878
2000-04-12,-10.9552
2000-04-13,-7.1911
2000-04-14,-9.6461
2000-04-17,1.0739
2000-04-18,8.5625
2000-04-19,0.3454
2000-04-20,-7.401
2000-04-24,-6.7534
2000-04-25,1.9268999999999998
2000-04-26,-0.9778
2000-04-27,7.3074
2000-04-28,7.1166
2000-05-01,-4.2383
2000-05-02,-4.8445
2000-05-03,-5.9711
2000-05-04,3.4759
2000-05-05,-0.5168
2000-05-08,1.7532
2000-05-09,-0.6382
2000-05-10,-2.1837
2000-05-11,-10.6369
2000-05-12,-5.2168
2000-05-15,1.7829000000000002
2000-05-16,3.6558
2000-05-17,-2.5716
2000-05-18,-0.0754
2000-05-19,-2.3396
