ticker,HLG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-07,28.5714
2015-07-08,2.4444
2015-07-09,24.7289
2015-07-10,-12.087
2015-07-13,2.6706
2015-07-14,-5.5877
2015-07-15,-3.0612
2015-07-16,0.0
2015-07-17,-5.2632
2015-07-20,0.0
2015-07-21,0.0
2015-07-22,0.0
2015-07-23,5.2833
2015-07-24,5.5353
2015-07-27,-0.1
2015-07-28,-4.9049
2015-07-29,-2.7368
2015-07-30,2.7056
2015-07-31,0.6322
2015-08-03,-6.8063
2015-08-04,2.809
2015-08-05,3.4959
2015-08-06,2.5357
2015-08-10,-2.2657
2015-08-11,0.0
2015-08-12,-2.529
2015-08-13,2.5932
2015-08-14,-0.3148
2015-08-17,-4.7569
2015-08-18,5.3274
2015-08-19,0.1054
2015-08-20,2.1053
2015-08-21,-0.2062
2015-08-24,-7.0248
2015-08-25,-6.1111
2015-08-27,6.5089
2015-08-28,5.0
2015-08-31,0.4233
2015-09-01,-6.0063
2015-09-02,-0.2242
2015-09-03,1.1236
2015-09-08,0.0014
2015-09-09,2.6652
2015-09-10,-0.119
2015-09-11,-1.4845
2015-09-15,1.6278000000000001
2015-09-16,2.8139
2015-09-17,-0.0013
2015-09-18,-0.2092
2015-09-21,0.1042
2015-09-23,2.2142
2015-09-24,-0.5168
2015-09-25,-0.5168
2015-09-28,4.1667
2015-09-29,-3.0
2015-09-30,0.6198
2015-10-01,-0.1025
2015-10-02,0.3064
2015-10-05,-0.2045
2015-10-06,-2.5615
2015-10-07,-0.1038
2015-10-09,-0.2118
2015-10-12,-0.3165
2015-10-13,-1.5873
2015-10-15,4.2997
2015-10-19,1.5476999999999999
2015-10-20,-1.5241
2015-10-22,1.0322
2015-10-23,-5.102
2015-10-26,0.0
2015-10-28,5.3763
2015-10-29,0.0
2015-10-30,-1.0204
2015-11-03,-0.1031
2015-11-04,0.6192
2015-11-05,-2.05
2015-11-06,1.5694
2015-11-09,-2.5786
2015-11-10,0.5304
2015-11-13,-0.0013
2015-11-16,0.0013
2015-11-17,-2.0947
2015-11-19,3.2134
2015-11-20,0.0013
2015-11-23,-1.043
2015-11-24,0.0
2015-11-25,1.0526
2015-11-27,-3.1224
2015-11-30,4.2997
2015-12-01,-0.1031
2015-12-02,-2.3736
2015-12-03,0.4228
2015-12-04,0.0
2015-12-07,1.5789
2015-12-09,0.4145
2015-12-10,-1.548
2015-12-14,1.5723
2015-12-17,-0.4128
2015-12-21,0.5194
2015-12-22,1.0296
