ticker,AGO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-04-23,0.0
2004-04-26,-1.1111
2004-04-27,1.1236
2004-04-28,-0.8333
2004-04-29,-1.2885
2004-04-30,0.454
2004-05-03,0.8475
2004-05-04,-0.2801
2004-05-05,-0.2247
2004-05-06,-0.3378
2004-05-07,-1.0169
2004-05-10,-1.484
2004-05-11,0.2897
2004-05-12,-0.8088
2004-05-13,-0.6989
2004-05-14,-1.4076
2004-05-17,-1.7252
2004-05-18,-0.7264
2004-05-19,0.6098
2004-05-20,0.7273
2004-05-21,-0.3008
2004-05-24,-0.2414
2004-05-25,1.9359
2004-05-26,-0.6528
2004-05-27,1.5532
2004-05-28,0.0
2004-06-01,-0.4706
2004-06-02,0.4728
2004-06-03,1.0588
2004-06-04,1.2806
2004-06-07,0.8046
2004-06-08,0.6271
2004-06-09,-0.2833
2004-06-10,-0.5114
2004-06-14,-0.2284
2004-06-15,-0.9159
2004-06-16,0.4622
2004-06-17,-0.8051
2004-06-18,0.0
2004-06-21,-0.6957
2004-06-22,-0.7589
2004-06-23,-2.3529
2004-06-24,2.1687
2004-06-25,-0.7075
2004-06-28,-1.1283
2004-06-29,0.8408
2004-06-30,0.9529
2004-07-01,-1.1799
2004-07-02,1.791
2004-07-06,-0.2933
2004-07-07,0.0
2004-07-08,0.7647
2004-07-09,0.7005
2004-07-12,0.1739
2004-07-13,-0.1157
2004-07-14,0.8111
2004-07-15,0.3448
2004-07-16,-1.26
2004-07-19,0.058
2004-07-20,-1.1594
2004-07-21,0.4106
2004-07-22,-0.1752
2004-07-23,-0.5266
2004-07-26,-0.1176
2004-07-27,0.1767
2004-07-28,-0.1176
2004-07-29,0.6474
2004-07-30,0.8772
2004-08-02,-0.2899
2004-08-03,-0.3488
2004-08-04,-5.4842
2004-08-05,-2.5309
2004-08-06,-0.1267
2004-08-09,-1.0146
2004-08-10,1.4094
2004-08-11,0.6949
2004-08-12,-1.8820999999999999
2004-08-13,-0.7033
2004-08-16,0.0
2004-08-17,-1.9355
2004-08-18,-1.5789
2004-08-19,2.7406
2004-08-20,2.7977
2004-08-23,-0.3165
2004-08-24,0.1905
2004-08-25,-0.0634
2004-08-26,0.8244
2004-08-27,0.1258
2004-08-30,0.0
2004-08-31,0.691
2004-09-01,0.7486
2004-09-02,-0.3096
2004-09-03,-0.0621
2004-09-07,-0.8701
2004-09-08,-0.8777
2004-09-09,-0.1265
2004-09-10,0.8866
2004-09-13,0.6905
2004-09-14,0.0623
