ticker,KSHB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-01-06,12.5
2016-01-07,0.0
2016-01-08,-11.1111
2016-01-11,0.0
2016-01-12,20.0
2016-01-13,2.0833
2016-01-14,-4.0816
2016-01-15,4.2553
2016-01-19,0.0
2016-01-20,4.0816
2016-01-21,-1.9607999999999999
2016-01-22,-0.4
2016-01-25,-5.6225000000000005
2016-01-26,-0.4255
2016-01-27,-8.1197
2016-01-28,6.9767
2016-01-29,-4.3478
2016-02-01,0.0
2016-02-02,-9.0909
2016-02-03,0.0
2016-02-04,-0.5
2016-02-05,0.5025
2016-02-08,-5.0
2016-02-09,-13.1579
2016-02-10,-3.6364
2016-02-11,3.7736
2016-02-12,-1.5038
2016-02-16,-5.857
2016-02-17,-13.7255
2016-02-18,-1.5152
2016-02-19,-1.5385
2016-02-22,1.5625
2016-02-23,-46.1538
2016-02-24,85.7143
2016-02-25,-3.5385
2016-02-26,0.4785
2016-02-29,3.9683
2016-03-01,0.7634
2016-03-02,-0.7576
2016-03-03,0.7634
2016-03-04,0.0
2016-03-07,1.5152
2016-03-08,-1.4925
2016-03-10,-3.7879
2016-03-11,5.5118
2016-03-14,4.4776
2016-03-15,-20.7143
2016-03-16,19.8198
2016-03-17,-3.0075
2016-03-18,3.876
2016-03-21,-6.7164
2016-03-22,5.545
2016-03-23,-6.7696
2016-03-24,-3.252
2016-03-28,0.0
2016-03-29,-0.8403
2016-03-30,-5.9322
2016-03-31,7.2072
2016-04-01,0.0
2016-04-04,-7.563
2016-04-05,0.0
2016-04-06,-9.0909
2016-04-07,4.0
2016-04-08,0.9615
2016-04-11,1.9048
2016-04-12,23.5164
2016-04-13,2.147
2016-04-14,-3.7037
2016-04-15,0.0
2016-04-18,4.6154
2016-04-19,10.2941
2016-04-20,-2.0
2016-04-21,-16.3265
2016-04-22,8.9431
2016-04-25,0.7463
2016-04-26,0.0
2016-04-27,-0.7407
2016-04-28,0.0
2016-04-29,-9.7015
2016-05-02,5.7283
2016-05-03,-14.0163
2016-05-04,9.0909
2016-05-05,-1.3333
2016-05-06,-2.8716
2016-05-09,-1.7391
2016-05-10,0.0
2016-05-11,1.7699
2016-05-12,-11.3043
2016-05-13,-1.9607999999999999
2016-05-16,0.0
2016-05-17,6.0
2016-05-18,24.5283
2016-05-19,-9.0909
2016-05-20,-6.0833
2016-05-23,-0.6821
2016-05-24,16.1427
2016-05-25,-3.8462
2016-05-31,-2.4
2016-06-01,2.459
2016-06-02,-7.2
