ticker,HOFT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-07,5.8824
2000-01-10,0.0
2000-01-21,-18.5185
2000-01-28,13.6364
2000-02-03,0.0
2000-02-24,-11.3975
2000-03-13,0.0
2000-03-14,-9.0909
2000-03-20,25.0
2000-03-24,-30.0
2000-03-27,42.8571
2000-03-31,0.0
2000-04-04,-16.0
2000-04-06,0.0
2000-04-07,-4.7619
2000-05-09,-20.0
2000-05-10,12.5
2000-05-12,11.1111
2000-05-23,-15.0
2000-05-30,-5.8824
2000-05-31,0.0
2000-06-02,0.0
2000-06-05,6.25
2000-06-09,0.0
2000-06-20,-5.8824
2000-06-22,0.0
2000-06-23,12.5
2000-06-27,0.0
2000-06-30,-2.7778
2000-07-06,2.8571
2000-07-13,-1.3889
2000-07-17,-1.4085
2000-07-20,14.2857
2000-07-26,0.0
2000-07-31,-8.75
2000-08-01,0.0
2000-08-03,1.3699
2000-08-22,20.0218
2000-08-24,0.0
2000-08-28,0.0
2000-09-07,0.0
2000-09-20,13.6364
2000-09-25,-26.0
2000-09-26,-2.7027
2000-09-27,0.0
2000-10-11,2.7778
2000-10-25,-5.4054
2000-11-06,-4.2857
2000-11-10,-1.4925
2000-11-17,4.1029
2000-11-24,-4.4118
2000-11-27,0.0
2000-11-29,0.0
2000-11-30,10.7692
2000-12-06,-6.9444
2000-12-11,-2.9851
2000-12-21,4.3692
2000-12-22,-2.7123
2000-12-28,3.0303
2001-01-02,-4.4118
2001-01-03,0.0
2001-01-04,-1.5385
2001-01-11,1.5625
2001-01-19,10.7692
2001-01-22,-2.0833
2001-01-23,-7.8014
2001-01-30,-10.7692
2001-02-12,1.7241
2001-02-13,13.5593
2001-02-22,-7.4627
2001-03-01,-7.2581
2001-03-19,11.3043
2001-03-29,9.375
2001-04-03,-8.5714
2001-04-18,-1.625
2001-04-19,8.0051
2001-04-25,0.0
2001-05-04,0.0
2001-05-07,1.4118
2001-05-09,5.5684000000000005
2001-05-10,-1.0989
2001-05-11,-7.7778
2001-05-14,3.012
2001-05-15,-0.7018
2001-05-16,4.1667
2001-05-17,-5.1429
2001-05-18,4.8193
2001-05-21,1.7241
2001-05-24,1.6949
2001-05-31,-7.7778
2001-06-08,0.6024
2001-06-11,0.0
2001-06-13,-2.9939999999999998
2001-06-14,6.4198
2001-06-20,-4.8724
2001-06-21,-1.2195
2001-06-22,1.7284000000000002
2001-06-26,-0.4854
2001-06-27,-1.2195
2001-06-28,11.1111
2001-06-29,0.0
