ticker,OBNK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-09,10.2941
2018-05-10,-2.0267
2018-05-11,1.1432
2018-05-14,-0.8881
2018-05-15,-0.2172
2018-05-16,0.0544
2018-05-17,1.0878
2018-05-18,0.8071
2018-05-21,-0.0801
2018-05-22,0.1335
2018-05-23,0.1867
2018-05-24,1.4377
2018-05-25,2.2047
2018-05-29,0.077
2018-05-30,-1.0521
2018-05-31,0.7261
2018-06-01,-1.1071
2018-06-04,-0.2603
2018-06-05,0.8092
2018-06-06,0.5697
2018-06-07,0.5149
2018-06-08,-0.999
2018-06-11,2.1475
2018-06-12,2.5583
2018-06-13,-0.4199
2018-06-14,1.4695
2018-06-15,-0.318
2018-06-18,-0.638
2018-06-19,1.1360999999999999
2018-06-20,-0.1709
2018-06-21,-2.275
2018-06-22,3.5795
2018-06-25,-3.3833
2018-06-26,0.0
2018-06-27,-1.1256
2018-06-28,2.4538
2018-06-29,1.0864
2018-07-02,0.6839
2018-07-03,-2.3047
2018-07-05,0.1242
2018-07-06,-1.5625
2018-07-09,0.7559
2018-07-10,-0.4751
2018-07-11,-1.5829
2018-07-12,-0.2808
2018-07-13,1.0753
2018-07-16,0.0507
2018-07-17,-0.9114
2018-07-18,-0.0255
2018-07-19,1.2778
2018-07-20,0.3028
2018-07-23,0.327
2018-07-24,-1.4544000000000001
2018-07-25,-0.916
2018-07-26,4.3143
2018-07-27,-1.1571
2018-07-30,0.5479
2018-07-31,0.6193
2018-08-01,-0.1477
2018-08-02,-0.7396
2018-08-03,-1.391
2018-08-06,0.9572
2018-08-07,-0.1747
2018-08-08,0.0
2018-08-09,-0.4749
2018-08-10,0.9794
2018-08-13,-0.572
2018-08-14,0.6253
2018-08-15,-2.0383
2018-08-16,0.609
2018-08-17,2.9256
2018-08-20,0.4656
2018-08-21,0.4634
2018-08-22,-0.1942
2018-08-23,0.5595
2018-08-24,-1.6207
2018-08-27,0.2213
2018-08-28,-0.5397
2018-08-29,0.2713
2018-08-30,-0.246
2018-08-31,-0.074
2018-09-04,-0.1481
2018-09-05,1.2111
2018-09-06,0.4396
2018-09-07,0.4863
2018-09-10,-0.121
2018-09-11,-0.9205
2018-09-12,-1.956
2018-09-13,-0.5175
2018-09-14,-1.6558000000000002
2018-09-17,-0.3827
2018-09-18,-0.2817
2018-09-19,-0.5907
2018-09-20,1.3692
2018-09-21,-1.2487
2018-09-24,-0.9806
2018-09-25,-3.1535
2018-09-26,-0.1615
2018-09-27,1.0512
