ticker,VBTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-09,7.3077
2014-10-10,6.7384
2014-10-13,-2.6192
2014-10-14,-5.7931
2014-10-15,1.0249
2014-10-16,-1.087
2014-10-17,0.3663
2014-10-20,-0.365
2014-10-21,1.0989
2014-10-22,-0.2174
2014-10-23,-0.1452
2014-10-24,-0.5091
2014-10-27,0.5117
2014-10-28,0.2909
2014-10-29,1.2328000000000001
2014-10-30,-1.5043
2014-10-31,1.6718
2014-11-03,-0.5714
2014-11-04,4.3165
2014-11-05,0.0
2014-11-06,3.5862
2014-11-07,0.3995
2014-11-10,-3.183
2014-11-11,2.6712
2014-11-12,-0.6671
2014-11-13,0.0672
2014-11-14,-0.0671
2014-11-17,0.403
2014-11-18,1.806
2014-11-19,1.5112
2014-11-20,3.0744
2014-11-21,-3.1083
2014-11-24,6.5457
2014-11-25,-1.3382
2014-11-26,-2.0345
2014-11-28,0.5664
2014-12-01,-3.4418
2014-12-02,1.1666
2014-12-03,0.9609
2014-12-04,-3.8071
2014-12-05,1.3193
2014-12-08,-1.6926999999999999
2014-12-09,2.2517
2014-12-10,-6.0233
2014-12-11,2.8946
2014-12-12,-1.6075
2014-12-15,0.0681
2014-12-16,-2.9932
2014-12-17,-1.1219999999999999
2014-12-18,0.1418
2014-12-19,-8.9235
2014-12-22,10.8865
2014-12-23,-0.0701
2014-12-24,-1.6842000000000001
2014-12-26,-1.7844
2014-12-29,0.0727
2014-12-30,2.6144
2014-12-31,0.2831
2015-01-02,1.4114
2015-01-05,-3.8274
2015-01-06,1.5194999999999999
2015-01-07,-0.5702
2015-01-08,1.7921
2015-01-09,-0.7746
2015-01-12,-0.7097
2015-01-13,-3.3595
2015-01-14,1.7012
2015-01-15,-3.2727
2015-01-16,0.1504
2015-01-20,-2.4024
2015-01-21,0.0
2015-01-22,1.9231
2015-01-23,0.9057
2015-01-26,-0.7479
2015-01-27,-2.939
2015-01-28,2.2516
2015-01-29,-0.6834
2015-01-30,0.5352
2015-02-02,0.6844
2015-02-03,0.4532
2015-02-04,1.0526
2015-02-05,5.506
2015-02-06,3.6671
2015-02-09,-2.2449
2015-02-10,2.4356
2015-02-11,-1.6303999999999998
2015-02-12,-2.3481
2015-02-13,2.1924
2015-02-17,-1.3149
2015-02-18,-2.5244999999999997
2015-02-19,0.4317
2015-02-20,1.7191999999999998
2015-02-23,-2.2535
2015-02-24,2.3775
2015-02-25,0.8445
2015-02-26,-2.2331
2015-02-27,0.7138
