ticker,ORHK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-09-07,200.0
2011-12-29,1.0
2012-02-06,68.3168
2012-02-08,56.8627
2012-02-10,37.5
2012-02-13,-8.1818
2012-02-14,8.9109
2012-02-15,-4.5455
2012-02-17,4.7619
2012-02-22,0.0
2012-02-23,0.9091
2012-02-24,4.6847
2012-02-28,2.3236
2012-03-01,-7.4853
2012-03-02,0.0
2012-03-20,-4.5455
2012-03-27,4.7619
2012-03-28,13.6364
2012-04-09,8.0
2012-04-10,0.0
2012-04-30,3.7037
2012-05-01,0.0
2012-05-02,0.0
2012-05-04,-1.0
2012-05-15,1.0101
2012-05-29,7.1429
2012-05-31,0.0
2012-06-22,6.6667
2012-06-25,6.25
2012-06-26,0.0
2012-06-28,0.0
2012-06-29,0.0
2012-07-18,-11.7647
2012-07-31,0.0
2012-08-01,0.0
2012-08-27,0.0
2012-08-31,-6.6667
2012-09-05,-32.8571
2012-09-12,-4.7872
2012-09-18,-1.1173
2012-09-26,0.0
2012-09-27,0.0
2012-09-28,58.1921
2012-10-08,0.0
2012-10-10,7.1429
2012-10-15,9.3333
2012-12-14,-45.122
2012-12-17,0.0
2012-12-18,0.0
2012-12-19,0.0
2012-12-21,12.2222
2012-12-26,-0.9901
2012-12-27,1.0
2012-12-28,45.5446
2013-01-08,1.3605
2013-01-23,0.0
2013-03-14,-49.6644
2013-03-15,0.0
2013-03-18,-8.0
2013-03-21,-53.6232
2013-03-28,362.5
2013-04-01,-15.5405
2013-04-05,18.4
2013-05-02,-18.9189
2013-05-29,-66.6667
2013-05-31,120.0
2013-08-15,-88.6364
2013-08-30,200.0
2013-09-03,0.0
2013-09-04,-50.0
2013-09-30,166.6667
2013-10-30,0.0
2013-12-09,0.0
2013-12-27,0.0
2014-02-27,-70.0
2014-02-28,233.3333
2014-03-05,-7.5
2014-07-22,5.4054
2014-10-20,-43.5897
2014-10-31,131.8182
2015-01-05,-11.7647
2015-01-22,-11.1111
2015-02-13,20.0
2015-02-25,13.5417
2015-03-04,6.422
2015-03-11,-25.8621
2015-03-13,-30.2326
2015-03-16,-36.6667
2015-03-17,-5.2632
2015-03-19,-22.2222
2015-03-20,-22.8571
2015-03-23,0.0
2015-03-24,-2.7778
2015-03-27,23.8095
2015-03-30,15.3846
2015-03-31,66.6667
2015-04-01,-2.0
2015-04-02,14.2857
2015-04-07,0.0
2015-04-09,0.0
2015-04-10,0.0
2015-04-29,0.0
2015-05-28,-46.4286
2015-09-23,0.0
