ticker,EXPR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-05-13,-1.4706000000000001
2010-05-14,-5.3134
2010-05-17,0.9458
2010-05-18,-2.5609
2010-05-19,-4.8077
2010-05-20,-0.7407
2010-05-21,0.0678
2010-05-24,0.0
2010-05-25,-1.6949
2010-05-26,-1.3793
2010-05-27,0.3497
2010-05-28,-0.3484
2010-06-01,-0.4196
2010-06-02,0.4916
2010-06-03,2.4458
2010-06-04,-4.6385
2010-06-07,-3.3619
2010-06-08,-1.7765
2010-06-09,1.2811
2010-06-10,4.2411
2010-06-11,11.7773
2010-06-14,6.6411
2010-06-15,1.4371
2010-06-16,-0.3542
2010-06-17,-0.5332
2010-06-18,0.9529
2010-06-21,-0.059
2010-06-22,1.5939
2010-06-23,-2.731
2010-06-24,-3.5244999999999997
2010-06-25,2.4768
2010-06-28,0.6042
2010-06-29,0.1201
2010-06-30,-1.7995999999999999
2010-07-01,-2.2602
2010-07-02,-4.75
2010-07-06,4.7244
2010-07-07,-1.1278
2010-07-08,-0.2535
2010-07-09,0.3177
2010-07-12,1.8999000000000001
2010-07-13,4.537
2010-07-14,1.7835999999999999
2010-07-15,1.1098
2010-07-16,-2.4840999999999998
2010-07-19,1.8365
2010-07-20,4.2467
2010-07-21,-3.9621
2010-07-22,5.7524999999999995
2010-07-23,2.3626
2010-07-26,1.8787
2010-07-27,-1.2118
2010-07-28,-4.9067
2010-07-29,-2.4678
2010-07-30,0.9201
2010-08-02,-2.906
2010-08-03,-2.054
2010-08-04,0.2397
2010-08-05,-2.2714
2010-08-06,-3.3639
2010-08-09,-1.7088999999999999
2010-08-10,-5.7952
2010-08-11,-3.0759
2010-08-12,4.3724
2010-08-13,-1.6892
2010-08-16,1.4433
2010-08-17,-2.2358000000000002
2010-08-18,-0.8316
2010-08-19,1.188
2010-08-20,0.0
2010-08-23,-1.5884
2010-08-24,-3.7193
2010-08-25,2.0408
2010-08-26,-1.2143
2010-08-27,1.0123
2010-08-30,-1.0021
2010-08-31,-1.5907
2010-09-01,-3.8207
2010-09-02,-0.8403
2010-09-03,0.3082
2010-09-07,0.9217
2010-09-08,0.8371
2010-09-09,1.9623
2010-09-10,2.1466
2010-09-13,1.7391
2010-09-14,2.2792
2010-09-15,1.532
2010-09-16,-0.6859
2010-09-17,1.3122
2010-09-20,1.3633
2010-09-21,1.5467
2010-09-22,-2.2517
2010-09-23,-1.1518
2010-09-24,1.8506
2010-09-27,0.1346
2010-09-28,1.6801
2010-09-29,-0.1322
