ticker,MAYX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-12,40.0
2000-02-09,0.0
2000-03-13,250.0
2000-03-16,-91.8367
2000-03-20,0.0
2000-03-22,400.0
2000-11-03,-99.375
2000-12-11,100.0
2001-01-11,4500.0
2001-05-08,-96.5217
2001-11-21,650.0
2002-03-04,0.0
2002-03-19,-33.3333
2002-12-30,-96.0
2003-05-20,-50.0
2003-09-08,0.0
2004-08-20,0.0
2004-09-14,-50.0
2005-02-28,300.0
2014-09-08,150.0
2014-09-11,1900.0
2014-09-26,100.0
2014-10-10,-84.9938
2014-12-22,-36.693
2014-12-30,-21.0526
2015-01-13,0.0
2015-01-28,-33.3333
2015-05-05,0.0
2016-01-14,0.0
2016-02-02,0.0
2016-02-17,0.0
2016-06-02,0.0
2016-07-19,0.0
2016-08-18,0.0
2017-05-08,0.0
2017-06-22,0.0
2017-08-15,0.0
2018-01-19,0.0
2018-01-31,43.75
2018-03-14,-30.4348
2018-07-09,462.5
2018-07-10,-15.5556
2018-07-11,-36.8421
2018-07-31,4.1667
2018-08-07,-20.0
2018-10-09,5.0
2019-07-09,-4.7619
2019-09-18,0.0
2019-09-24,0.0
2019-10-01,-19.96
2019-10-04,-0.05
2019-10-16,-25.0
2019-10-31,240.0
2019-11-06,0.0
2019-11-18,0.0
2019-11-19,0.0
2019-11-26,-50.0
2019-12-23,-21.5686
2020-01-06,-50.0
2020-01-13,0.0
