ticker,NRZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-03,-0.1479
2013-05-06,2.3704
2013-05-07,2.7496
2013-05-08,-0.5634
2013-05-09,-1.1331
2013-05-10,-0.1433
2013-05-13,-1.7217
2013-05-14,-0.292
2013-05-15,-4.0996
2013-05-16,6.8702
2013-05-17,-1.1429
2013-05-20,-0.4335
2013-05-21,0.1451
2013-05-22,-2.029
2013-05-23,2.6627
2013-05-24,-0.1441
2013-05-28,-5.4834
2013-05-29,2.9008000000000003
2013-05-30,1.3353
2013-05-31,0.1464
2013-06-03,-0.731
2013-06-04,-0.7364
2013-06-05,-0.2967
2013-06-06,0.2976
2013-06-07,-2.819
2013-06-10,0.6107
2013-06-11,-1.5175
2013-06-12,-2.4922
2013-06-13,3.6741
2013-06-14,1.5408
2013-06-17,1.6692
2013-06-18,-0.2985
2013-06-19,-1.6467
2013-06-20,-1.6743000000000001
2013-06-21,0.3096
2013-06-24,-2.9321
2013-06-25,2.8617
2013-06-26,-0.3091
2013-06-27,1.5504
2013-06-28,2.9008000000000003
2013-07-01,-3.5608
2013-07-02,-0.7692
2013-07-03,0.155
2013-07-05,4.9536
2013-07-08,-0.7375
2013-07-09,-2.3774
2013-07-10,0.9132
2013-07-11,0.6033
2013-07-12,3.1484
2013-07-15,-1.1628
2013-07-16,-0.8824
2013-07-17,0.0
2013-07-18,0.7418
2013-07-19,-2.3564
2013-07-22,0.1508
2013-07-23,-0.1506
2013-07-24,-1.6591
2013-07-25,0.4601
2013-07-26,-1.9847000000000001
2013-07-29,-0.1558
2013-07-30,3.5881
2013-07-31,-0.1506
2013-08-01,2.2624
2013-08-02,-0.4425
2013-08-05,-1.3333
2013-08-06,2.2523
2013-08-07,0.5874
2013-08-08,0.5839
2013-08-09,-1.4514
2013-08-12,-1.3255
2013-08-13,-0.7463
2013-08-14,-1.8045
2013-08-15,-3.2159
2013-08-16,-1.7405
2013-08-19,-1.7713
2013-08-20,0.0
2013-08-21,2.9508
2013-08-22,-0.3185
2013-08-23,3.5144
2013-08-26,-0.9259
2013-08-27,-2.1807
2013-08-28,-1.2739
2013-08-29,2.9032
2013-08-30,-0.4702
2013-09-03,1.5748
2013-09-04,-0.4651
2013-09-05,-0.1558
2013-09-06,-0.468
2013-09-09,0.4702
2013-09-10,-1.7161
2013-09-11,-0.6349
2013-09-12,1.278
2013-09-13,0.7886
2013-09-16,0.1565
2013-09-17,-0.1563
2013-09-18,5.6338
2013-09-19,0.5926
2013-09-20,-1.3255
