ticker,ERII US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-07-02,15.6471
2008-07-03,0.0
2008-07-07,4.0692
2008-07-08,8.5032
2008-07-09,0.902
2008-07-10,4.7321
2008-07-11,-0.341
2008-07-14,-1.9675
2008-07-15,-2.8796
2008-07-16,-1.0782
2008-07-17,0.9094
2008-07-18,7.1095
2008-07-21,3.3613
2008-07-22,-0.6504
2008-07-23,-0.9002
2008-07-24,-7.5969999999999995
2008-07-25,-6.1662
2008-07-28,4.4762
2008-07-29,-1.732
2008-07-30,0.0
2008-07-31,2.5046
2008-08-01,2.6244
2008-08-04,1.4990999999999999
2008-08-05,-1.8245
2008-08-06,-1.6814
2008-08-07,-1.5302
2008-08-08,0.5484
2008-08-11,-6.1818
2008-08-12,-0.8721
2008-08-13,-9.5797
2008-08-14,1.0811
2008-08-15,2.1390000000000002
2008-08-18,-0.9424
2008-08-19,-6.6596
2008-08-20,0.1133
2008-08-21,3.0543
2008-08-22,1.5368
2008-08-25,-1.6216
2008-08-26,-4.0659
2008-08-27,-0.8018
2008-08-28,2.8868
2008-08-29,1.1223
2008-09-02,2.4417
2008-09-03,-0.1083
2008-09-04,-2.2777
2008-09-05,0.0
2008-09-08,-2.4417
2008-09-09,-8.4187
2008-09-10,-5.4658
2008-09-11,-4.862
2008-09-12,-0.4144
2008-09-15,1.2483
2008-09-16,6.0274
2008-09-17,-1.1628
2008-09-18,-6.5359
2008-09-19,6.993
2008-09-22,5.6209
2008-09-23,-1.3614
2008-09-24,9.7867
2008-09-25,4.5714
2008-09-26,6.5574
2008-09-29,-7.0769
2008-09-30,5.8499
2008-10-01,-10.0104
2008-10-02,-4.8667
2008-10-03,0.9744
2008-10-06,-15.199
2008-10-07,-6.2589
2008-10-08,5.4628
2008-10-09,-7.7698
2008-10-10,15.9126
2008-10-13,14.1319
2008-10-14,-7.783
2008-10-15,-6.5217
2008-10-16,-1.2312
2008-10-17,-1.2465
2008-10-20,0.1403
2008-10-21,-2.3810000000000002
2008-10-22,-8.3214
2008-10-23,-6.5728
2008-10-24,-5.5276
2008-10-27,-7.6241
2008-10-28,-4.6065000000000005
2008-10-29,-1.2072
2008-10-30,12.0163
2008-10-31,5.4545
2008-11-03,0.8621
2008-11-04,0.3419
2008-11-05,-1.8739
2008-11-06,-10.0694
2008-11-07,9.6525
2008-11-10,-1.2324
2008-11-11,-0.713
2008-11-12,4.4883
2008-11-13,2.9210000000000003
2008-11-14,-0.6678
2008-11-17,6.0504
