ticker,OMP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-21,-1.4706000000000001
2017-09-22,0.0
2017-09-25,0.8955
2017-09-26,0.0592
2017-09-27,0.1774
2017-09-28,0.2952
2017-09-29,-0.1766
2017-10-02,0.2358
2017-10-03,0.4118
2017-10-04,-0.2343
2017-10-05,1.2331
2017-10-06,0.0
2017-10-09,0.9861
2017-10-10,1.3785
2017-10-11,0.2833
2017-10-12,0.0282
2017-10-13,1.5532
2017-10-16,-1.168
2017-10-17,-3.3202
2017-10-18,-2.9686
2017-10-19,-1.6197
2017-10-20,1.8293
2017-10-23,0.8982
2017-10-24,-0.5341
2017-10-25,-2.5656
2017-10-26,0.1837
2017-10-27,1.2225
2017-10-30,2.657
2017-10-31,-2.2353
2017-11-01,1.9856
2017-11-02,0.59
2017-11-03,-1.6421999999999999
2017-11-06,2.0274
2017-11-07,0.0584
2017-11-08,3.7967
2017-11-09,-2.3073
2017-11-10,-1.9585
2017-11-13,-1.9388999999999998
2017-11-14,0.1198
2017-11-15,-0.778
2017-11-16,0.0603
2017-11-17,4.9427
2017-11-20,1.9529
2017-11-21,3.662
2017-11-22,0.0
2017-11-24,1.3587
2017-11-27,-1.9839
2017-11-28,-3.7199
2017-11-29,1.5341
2017-11-30,1.399
2017-12-01,-0.883
2017-12-04,0.0
2017-12-05,2.951
2017-12-06,-2.6501
2017-12-07,0.7222
2017-12-08,-0.1655
2017-12-11,0.5525
2017-12-12,1.2088
2017-12-13,-0.1629
2017-12-14,0.5982
2017-12-15,-1.0811
2017-12-18,0.2732
2017-12-19,-1.9074
2017-12-20,-1.1111
2017-12-21,-1.1798
2017-12-22,-0.5685
2017-12-26,-0.5146
2017-12-27,-0.5747
2017-12-28,-0.8092
2017-12-29,1.6317
2018-01-02,-0.9174
2018-01-03,1.4468
2018-01-04,1.4832
2018-01-05,1.1804000000000001
2018-01-08,1.9444
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.3815
2018-01-12,0.2714
2018-01-16,1.516
2018-01-17,0.2667
2018-01-18,1.8617
2018-01-19,-0.2611
2018-01-22,-1.623
2018-01-23,1.4369
2018-01-24,0.6296
2018-01-25,-0.7299
2018-01-26,-0.3676
2018-01-29,1.1597
2018-01-30,-1.3549
2018-01-31,2.9583
2018-02-01,-0.7183
2018-02-02,-0.5685
2018-02-05,-1.7671999999999999
2018-02-06,-1.3757
2018-02-07,-3.7016999999999998
2018-02-08,-0.39
2018-02-09,0.6711
2018-02-12,-2.3333
