ticker,CRNY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-12,0.0
2007-02-13,-22.5806
2007-02-16,0.0
2007-02-20,-16.6667
2007-02-21,5.0
2007-02-22,-4.7619
2007-02-23,20.0
2007-02-26,-16.6667
2007-02-27,7.5
2007-02-28,-41.8605
2007-03-01,0.8
2007-03-02,-5.5556
2007-03-05,-41.1765
2007-03-06,28.5714
2007-03-07,-5.5556
2007-03-08,-25.0735
2007-03-09,24.0432
2007-03-12,13.9241
2007-03-13,-22.2222
2007-03-14,0.0
2007-03-15,0.0
2007-03-16,2.8571
2007-03-19,-23.6111
2007-03-20,0.0
2007-03-21,-9.0909
2007-03-22,50.0
2007-03-23,-41.3333
2007-03-26,59.0909
2007-03-27,-31.4286
2007-03-28,-16.6667
2007-03-29,5.0
2007-03-30,-0.8929
2007-04-02,8.1081
2007-04-03,-11.1111
2007-04-04,0.0
2007-04-09,0.0
2007-04-10,0.0
2007-04-11,12.5
2007-04-12,-11.1111
2007-04-13,10.0
2007-04-16,-9.0909
2007-04-17,0.0
2007-04-18,0.0
2007-04-19,-22.5
2007-04-20,-38.7097
2007-04-23,-21.0526
2007-04-24,2.5
2007-04-25,-21.9512
2007-04-26,50.0
2007-04-27,-38.8889
2007-04-30,36.3636
2007-05-01,-13.3333
2007-05-02,3.8462
2007-05-03,-11.1111
2007-05-04,41.6667
2007-05-07,17.647100000000002
2007-05-08,25.0
2007-05-09,48.0
2007-05-10,-10.8108
2007-05-11,-25.7576
2007-05-14,-18.3673
2007-05-15,25.0
2007-05-16,-36.0
2007-05-17,0.0
2007-05-18,25.0
2007-05-21,10.0
2007-05-22,-27.2727
2007-05-23,0.0
2007-05-24,12.5
2007-05-25,-11.1111
2007-05-29,-6.25
2007-05-30,6.6667
2007-05-31,-12.5
2007-06-01,-3.5714
2007-06-04,0.9259
2007-06-05,1.3761
2007-06-06,15.8371
2007-06-07,6.25
2007-06-08,17.647100000000002
2007-06-11,0.0
2007-06-12,10.0
2007-06-13,27.2727
2007-06-14,-32.1429
2007-06-15,-5.2632
2007-06-18,-5.5556
2007-06-19,23.5294
2007-06-20,-13.6905
2007-06-21,-6.2069
2007-06-22,-3.6765
2007-06-25,9.9237
2007-06-26,11.1111
2007-06-27,-10.0
2007-06-28,11.1111
2007-06-29,0.0
2007-07-02,5.0
2007-07-03,9.5238
2007-07-05,-4.3478
2007-07-06,-13.6364
2007-07-09,0.0
2007-07-10,-2.6316
2007-07-11,-2.7027
2007-07-12,11.1111
