ticker,LAMR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.1032
2000-01-04,-5.0515
2000-01-05,-0.3257
2000-01-06,1.5251000000000001
2000-01-07,2.3605
2000-01-10,3.9832
2000-01-11,-2.621
2000-01-12,-2.588
2000-01-13,3.5069
2000-01-14,1.7454
2000-01-18,-3.33
2000-01-19,3.5491
2000-01-20,-0.2016
2000-01-21,3.0303
2000-01-24,0.9804
2000-01-25,2.233
2000-01-26,0.4748
2000-01-27,-4.5369
2000-01-28,-4.1584
2000-01-31,-3.0992
2000-02-01,2.1322
2000-02-02,4.8017
2000-02-03,5.4781
2000-02-04,1.7469000000000001
2000-02-07,-0.5568
2000-02-08,-0.0467
2000-02-09,-3.4547
2000-02-10,-0.7737
2000-02-11,-1.0721
2000-02-14,1.3793
2000-02-15,-3.207
2000-02-16,-3.6145
2000-02-17,-8.9583
2000-02-18,-5.1487
2000-02-22,-4.222
2000-02-23,0.8816
2000-02-24,-6.0861
2000-02-25,-6.9458
2000-02-28,-8.0714
2000-02-29,8.3139
2000-03-01,6.3128
2000-03-02,-2.0243
2000-03-03,12.1212
2000-03-06,-6.7568
2000-03-07,-1.581
2000-03-08,5.7564
2000-03-09,10.7595
2000-03-10,-1.0286
2000-03-13,-4.157
2000-03-14,-0.7229
2000-03-15,-2.4272
2000-03-16,7.4627
2000-03-17,1.7361
2000-03-20,-7.1672
2000-03-21,3.6765
2000-03-22,-4.6099
2000-03-23,-1.1152
2000-03-24,-1.0025
2000-03-27,-0.2532
2000-03-28,-0.8883
2000-03-29,-4.4814
2000-03-30,-4.0214
2000-03-31,1.6760000000000002
2000-04-03,-6.456
2000-04-04,2.2026
2000-04-05,3.7356
2000-04-06,6.3712
2000-04-07,4.1667
2000-04-10,-7.625
2000-04-11,-1.6238000000000001
2000-04-12,-1.1004
2000-04-13,0.4172
2000-04-14,-6.2327
2000-04-17,-5.7607
2000-04-18,3.4483
2000-04-19,0.9091
2000-04-20,0.3003
2000-04-24,-8.6826
2000-04-25,10.4918
2000-04-26,-0.8902
2000-04-27,-0.4491
2000-04-28,6.015
2000-05-01,-5.5319
2000-05-02,5.5556
2000-05-03,0.1422
2000-05-04,3.4091
2000-05-05,0.5495
2000-05-08,-1.6393
2000-05-09,-2.2222
2000-05-10,-3.8352
2000-05-11,2.9542
2000-05-12,-1.5782
2000-05-15,2.0408
2000-05-16,2.8571
2000-05-17,0.0
2000-05-18,-1.9444
2000-05-19,-3.1161
2000-05-22,-4.0936
