ticker,LGIH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-07,17.2727
2013-11-08,1.0853
2013-11-11,1.6871
2013-11-12,-4.0724
2013-11-13,2.5943
2013-11-14,2.8352
2013-11-15,1.0432
2013-11-18,-0.1475
2013-11-19,-0.1477
2013-11-20,0.8876
2013-11-21,3.739
2013-11-22,-1.6961
2013-11-25,0.9346
2013-11-26,4.8433
2013-11-27,5.231
2013-11-29,-0.581
2013-12-02,-1.4285999999999999
2013-12-03,1.1858
2013-12-04,2.8646000000000003
2013-12-05,3.6709
2013-12-06,3.4798999999999998
2013-12-09,1.6519
2013-12-10,-0.3482
2013-12-11,-4.0186
2013-12-12,0.1214
2013-12-13,0.6667
2013-12-16,2.8296
2013-12-17,0.5855
2013-12-18,0.6985
2013-12-19,3.9306
2013-12-20,1.3904
2013-12-23,-0.8228
2013-12-24,0.0553
2013-12-26,0.2764
2013-12-27,-0.2205
2013-12-30,-2.3204000000000002
2013-12-31,0.6222
2014-01-02,-1.068
2014-01-03,1.7614
2014-01-06,-2.1776
2014-01-07,0.0571
2014-01-08,1.0839
2014-01-09,-0.2257
2014-01-10,0.7353
2014-01-13,0.1123
2014-01-14,-0.8974
2014-01-15,0.6791
2014-01-16,0.0
2014-01-17,6.2957
2014-01-21,-4.7594
2014-01-22,1.055
2014-01-23,-0.4945
2014-01-24,-3.6444
2014-01-27,-2.4642
2014-01-28,0.5875
2014-01-29,-0.993
2014-01-30,1.0029
2014-01-31,1.7523
2014-02-03,-1.8944
2014-02-04,-0.5266
2014-02-05,-1.8824
2014-02-06,-1.3189
2014-02-07,0.3645
2014-02-10,-2.1186
2014-02-11,3.7106
2014-02-12,-2.0274
2014-02-13,3.4693
2014-02-14,-2.4706
2014-02-18,-4.1013
2014-02-19,0.4403
2014-02-20,5.0094
2014-02-21,-3.6374
2014-02-24,-0.1856
2014-02-25,0.062
2014-02-26,2.2305
2014-02-27,1.1515
2014-02-28,1.8574000000000002
2014-03-03,-1.4706000000000001
2014-03-04,0.9552
2014-03-05,-1.7741
2014-03-06,-0.301
2014-03-07,-0.6039
2014-03-10,1.2151
2014-03-11,0.4802
2014-03-12,-0.5376
2014-03-13,0.6607
2014-03-14,-2.0883
2014-03-17,5.3626
2014-03-18,0.5205
2014-03-19,3.2796
2014-03-20,0.0557
2014-03-21,-0.6682
2014-03-24,-1.9619
2014-03-25,-1.944
2014-03-26,-2.449
2014-03-27,2.8093
2014-03-28,5.1744
2014-03-31,-4.6434
