ticker,ALEX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-06-15,-2.5162
2012-06-25,0.0782
2012-06-26,5.2364
2012-06-27,0.1857
2012-06-28,3.4099
2012-06-29,-9.7849
2012-07-02,0.5165
2012-07-03,8.7352
2012-07-05,13.267900000000001
2012-07-06,8.4082
2012-07-09,-5.151
2012-07-10,0.1873
2012-07-11,0.0623
2012-07-12,6.5068
2012-07-13,0.1169
2012-07-16,-0.2628
2012-07-17,-0.4684
2012-07-18,0.1765
2012-07-19,0.0
2012-07-20,-1.3506
2012-07-23,-2.8274
2012-07-24,-1.1945000000000001
2012-07-25,-0.403
2012-07-26,0.5291
2012-07-27,0.6811
2012-07-30,-0.7995
2012-07-31,-0.682
2012-08-01,0.0312
2012-08-02,1.3729
2012-08-03,-1.1696
2012-08-06,-0.0623
2012-08-07,-0.187
2012-08-08,-0.1873
2012-08-09,-0.6256
2012-08-10,-0.8499
2012-08-13,-1.2381
2012-08-14,-1.4143
2012-08-15,-4.5647
2012-08-16,3.3823
2012-08-17,-0.5948
2012-08-20,0.2992
2012-08-21,-0.3977
2012-08-22,-0.1997
2012-08-23,0.0
2012-08-24,0.0
2012-08-27,-1.4005
2012-08-28,1.3189
2012-08-29,-1.2016
2012-08-30,-0.5405
2012-08-31,0.6114
2012-09-04,0.0
2012-09-05,0.3376
2012-09-06,1.6824
2012-09-07,-0.8273
2012-09-10,0.5005
2012-09-11,-0.0664
2012-09-12,0.2658
2012-09-13,0.3645
2012-09-14,0.8254
2012-09-17,-2.1284
2012-09-18,-0.9033
2012-09-19,-0.5402
2012-09-20,0.7807
2012-09-21,-0.5389
2012-09-24,-0.8466
2012-09-25,1.8784
2012-09-26,-0.067
2012-09-27,-0.2013
2012-09-28,-0.7395
2012-10-01,-2.8446
2012-10-02,0.9411
2012-10-03,-0.7942
2012-10-04,-0.1044
2012-10-05,-1.0453
2012-10-08,-0.2113
2012-10-09,-0.9527
2012-10-10,-0.6769
2012-10-11,0.2869
2012-10-12,-1.5021
2012-10-15,-0.2542
2012-10-16,0.7645
2012-10-17,1.0838
2012-10-18,-1.2866
2012-10-19,-2.4981999999999998
2012-10-22,-0.8169
2012-10-23,-1.1981
2012-10-24,2.2736
2012-10-25,0.9263
2012-10-26,3.8179
2012-10-31,2.2984
2012-11-01,3.3184
2012-11-02,-1.171
2012-11-05,-0.6432
2012-11-06,1.1244
2012-11-07,-0.876
2012-11-08,-0.7818
2012-11-09,0.4796
2012-11-12,-2.148
