ticker,EDSA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-25,3.6437
2010-08-03,67.0673
2010-08-13,-15.3957
2010-08-25,-19.0476
2010-08-31,22.3214
2010-09-03,12.4302
2010-09-07,1.2793999999999999
2010-09-08,2.5641
2010-09-09,6.9118
2010-09-10,9.216
2010-09-13,8.3123
2010-09-14,-8.0233
2010-09-15,-7.4589
2010-09-16,3.8251
2010-09-17,4.7039
2010-09-20,17.4207
2010-09-21,-1.6856
2010-09-22,3.1569
2010-09-23,-6.4371
2010-09-24,-0.9728
2010-09-27,0.2278
2010-09-28,-0.5682
2010-09-29,3.6571
2010-09-30,3.1974
2010-10-01,0.2137
2010-10-04,-4.1178
2010-10-05,-0.4864
2010-10-06,1.7877
2010-10-07,2.4424
2010-10-08,-4.3129
2010-10-12,3.0235
2010-10-13,3.6277
2010-10-14,15.3796
2010-10-15,-2.0909
2010-10-19,-1.6017000000000001
2010-10-20,29.8184
2010-10-21,6.1239
2010-10-22,3.4247
2010-10-25,1.9868000000000001
2010-10-26,1.8669
2010-10-27,-1.4661
2010-10-28,0.8572
2010-10-29,9.1084
2010-11-01,-5.585
2010-11-02,-1.8056999999999999
2010-11-03,1.078
2010-11-04,11.9981
2010-11-05,14.3257
2010-11-08,6.1122
2010-11-09,2.0259
2010-11-10,-4.4917
2010-11-11,-6.9834
2010-11-12,-1.783
2010-11-15,1.6598000000000002
2010-11-16,-11.8367
2010-11-17,12.5579
2010-11-18,1.0604
2010-11-19,4.089
2010-11-22,-1.2708
2010-11-23,-0.3094
2010-11-24,-4.2086
2010-11-26,2.281
2010-11-29,3.3958
2010-11-30,3.2537
2010-12-01,3.7683
2010-12-02,-1.6183999999999998
2010-12-03,-1.4125
2010-12-06,1.8868
2010-12-07,4.8264
2010-12-08,-9.0206
2010-12-09,10.4005
2010-12-10,16.0383
2010-12-13,-4.4714
2010-12-14,-1.2297
2010-12-15,-7.0683
2010-12-16,7.8382
2010-12-17,-5.6505
2010-12-20,-1.6724
2010-12-21,0.3024
2010-12-22,-3.2031
2010-12-23,1.4404
2010-12-29,5.6908
2010-12-30,17.7716
2010-12-31,0.7752
2011-01-04,-8.9991
2011-01-05,5.7394
2011-01-06,-10.2471
2011-01-07,-4.4534
2011-01-10,-0.0847
2011-01-11,-3.0958
2011-01-12,2.9759
2011-01-13,-6.4758
2011-01-14,3.8796
2011-01-18,-2.056
2011-01-19,-2.1885
2011-01-20,-5.2626
2011-01-21,-1.1447
2011-01-24,-0.8776
