ticker,BRLIU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-24,0.5
2020-06-25,-0.1493
2020-06-26,-0.3488
2020-06-29,0.6
2020-06-30,-0.2982
2020-07-01,0.1007
2020-07-02,-0.1006
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,-0.0499
2020-07-09,-0.0499
2020-07-10,0.0998
2020-07-13,0.1007
2020-07-14,0.0986
2020-07-15,-0.199
2020-07-16,0.0
2020-07-17,0.3988
2020-07-20,0.1986
2020-07-21,0.2973
2020-07-22,-0.2964
2020-07-23,-0.1982
2020-07-24,-0.0993
2020-07-27,0.2992
2020-07-28,0.0981
2020-07-29,0.0
2020-07-30,-0.9901
2020-07-31,-0.1
