ticker,BAND US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-10,5.95
2017-11-13,-4.2001
2017-11-14,-1.0345
2017-11-15,-0.2489
2017-11-16,-0.1996
2017-11-17,-9.2
2017-11-20,5.3414
2017-11-21,4.8092
2017-11-22,5.8354
2017-11-24,-0.754
2017-11-27,-1.6143999999999998
2017-11-28,-1.3996
2017-11-29,1.1747
2017-11-30,5.6604
2017-12-01,1.7399
2017-12-04,0.6751
2017-12-05,1.4752
2017-12-06,-0.6608
2017-12-07,-4.5233
2017-12-08,-1.7650000000000001
2017-12-11,-2.3641
2017-12-12,-1.937
2017-12-13,6.4198
2017-12-14,2.645
2017-12-15,-2.8481
2017-12-18,6.3751
2017-12-19,-1.0061
2017-12-20,1.5024
2017-12-21,0.3918
2017-12-22,-0.0434
2017-12-26,-0.0868
2017-12-27,4.5158000000000005
2017-12-28,1.2879
2017-12-29,-5.1682
2018-01-02,0.519
2018-01-03,1.2478
2018-01-04,-0.3825
2018-01-05,0.1706
2018-01-08,0.0852
2018-01-09,-0.8511
2018-01-10,-0.3004
2018-01-11,-0.7318
2018-01-12,-0.2168
2018-01-16,0.5215
2018-01-17,-0.3459
2018-01-18,0.1302
2018-01-19,0.9965
2018-01-22,-0.7722
2018-01-23,-0.3459
2018-01-24,-1.0412
2018-01-25,-0.4822
2018-01-26,0.1322
2018-01-29,3.4316
2018-01-30,1.829
2018-01-31,-2.5063
2018-02-01,1.1568
2018-02-02,-4.6167
2018-02-05,-3.3748
2018-02-06,-3.0331
2018-02-07,-1.7062
2018-02-08,1.3982999999999999
2018-02-09,0.0
2018-02-12,1.5215999999999998
2018-02-13,-6.8852
2018-02-14,11.7203
2018-02-15,0.4953
2018-02-16,-0.1344
2018-02-20,7.2678
2018-02-21,0.7528
2018-02-22,12.0382
2018-02-23,-0.6669
2018-02-26,2.6109999999999998
2018-02-27,-0.2181
2018-02-28,0.0
2018-03-01,-0.7286
2018-03-02,-0.9174
2018-03-05,0.8889
2018-03-06,5.4699
2018-03-07,-0.3133
2018-03-08,0.6983
2018-03-09,-0.0347
2018-03-12,-0.7978
2018-03-13,-0.0699
2018-03-14,-0.6648
2018-03-15,3.8746
2018-03-16,-1.492
2018-03-19,-0.1033
2018-03-20,10.062
2018-03-21,0.5009
2018-03-22,0.1869
2018-03-23,-0.7152
2018-03-26,0.0
2018-03-27,-1.4407
2018-03-28,1.9701
2018-03-29,1.7763
2018-04-02,-0.3368
2018-04-03,-2.6728
2018-04-04,-0.5682
