ticker,APPS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-07-06,5.0
2006-07-07,4.7619
2006-07-11,0.0
2006-07-12,0.0
2006-07-13,13.6364
2006-07-20,-12.0
2006-07-21,22.7273
2006-07-24,-7.4074
2006-07-25,0.0
2006-07-27,20.0
2006-07-28,33.3333
2006-07-31,15.0
2006-08-01,0.0
2006-08-02,13.0435
2006-08-03,26.9231
2006-08-08,21.2121
2006-08-09,0.0
2006-08-11,0.0
2006-08-14,-25.0
2006-08-15,100.0
2006-08-18,-17.5
2006-08-23,-21.7172
2006-08-24,-3.2258
2006-08-25,-16.6667
2006-08-28,0.0
2006-08-29,-12.0
2006-08-30,4.5455
2006-08-31,-4.3478
2006-09-01,-9.0909
2006-09-05,-5.0
2006-09-06,10.526299999999999
2006-09-07,-2.8571
2006-09-08,0.0
2006-09-11,7.8431
2006-09-12,13.6364
2006-09-13,0.0
2006-09-14,0.0
2006-09-20,-4.0
2006-09-21,0.0
2006-09-25,0.0
2006-09-26,4.1667
2006-09-28,8.0
2006-09-29,11.1111
2006-10-03,-10.0
2006-10-04,-7.4074
2006-10-06,0.0
2006-10-10,0.0
2006-10-11,8.0
2006-10-12,7.4074
2006-10-13,3.4483
2006-10-16,0.0
2006-10-18,3.3333
2006-10-19,12.9032
2006-10-23,-4.0
2006-10-31,-10.7143
2006-11-02,-10.0
2006-11-03,11.1111
2006-11-07,-10.0
2006-11-09,0.0
2006-11-10,0.0
2006-11-13,11.1111
2006-11-15,-10.0
2006-11-16,11.1111
2006-11-17,0.0
2006-11-21,0.6667
2006-11-22,0.0
2006-11-27,5.9603
2006-11-28,9.375
2006-11-30,0.0
2006-12-05,-8.5714
2006-12-11,0.0
2006-12-18,0.0
2006-12-19,-6.25
2006-12-20,0.0
2006-12-26,26.6667
2006-12-27,-21.0526
2006-12-28,26.6667
2006-12-29,7.8947
2007-01-03,0.0
2007-01-04,-2.439
2007-01-17,-12.5
2007-01-18,0.0
2007-01-19,14.2857
2007-01-22,-12.5
2007-01-23,0.0
2007-01-25,14.2857
2007-01-29,0.0
2007-01-31,1.0
2007-02-01,-0.9901
2007-02-05,-12.5
2007-02-06,0.0
2007-02-07,0.0
2007-02-08,0.0
2007-02-09,2.8571
2007-02-13,11.1111
2007-02-14,0.0
2007-02-15,2.5
2007-02-20,-2.439
2007-02-22,-5.0
2007-02-26,5.2632
2007-02-27,2.5
2007-02-28,2.439
2007-03-02,0.0
2007-03-06,-4.7619
2007-03-08,-12.5
