ticker,NEXD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-02-25,0.0
2009-02-26,14.2857
2009-02-27,0.0
2009-03-02,0.0
2009-03-03,0.0
2009-03-05,0.0
2009-03-06,-12.5
2009-03-11,14.2857
2009-03-12,0.0
2009-03-13,0.0
2009-03-16,0.0
2009-03-17,0.0
2009-03-18,0.0
2009-03-20,0.0
2009-03-24,0.0
2009-03-25,-25.0
2009-04-08,33.3333
2009-04-09,25.0
2009-04-14,0.0
2009-04-17,0.0
2009-04-21,0.0
2009-05-07,-50.0
2009-05-08,100.0
2009-05-12,0.0
2009-05-13,0.0
2009-05-15,180.0
2009-05-18,-10.7143
2009-05-19,0.0
2009-05-20,0.0
2009-05-21,68.0
2009-05-22,-2.3810000000000002
2009-05-26,-2.439
2009-05-27,10.0
2009-05-28,-9.0909
2009-05-29,0.0
2009-06-01,-47.5
2009-06-02,40.4762
2009-06-03,11.8644
2009-06-04,-24.2424
2009-06-05,-36.0
2009-06-08,0.0
2009-06-09,-25.0
2009-06-10,-33.3333
2009-06-11,75.0
2009-06-12,-28.5714
2009-06-15,20.0
2009-06-16,-33.3333
2009-06-17,-25.0
2009-06-18,50.0
2009-06-19,-11.1111
2009-06-23,-12.5
2009-06-24,-14.2857
2009-06-25,-1.6667
2009-06-26,1.6949
2009-06-29,0.0
2009-06-30,-1.6667
2009-07-02,0.0
2009-07-06,35.5932
2009-07-07,-37.5
2009-07-08,0.0
2009-07-09,0.0
2009-07-10,0.0
2009-07-13,18.0
2009-07-14,-15.2542
2009-07-15,20.0
2009-07-16,-16.6667
2009-07-17,0.0
2009-07-21,16.0
2009-07-23,-5.1724
2009-07-24,0.0
2009-07-28,0.0
2009-07-29,-9.0909
2009-07-31,0.0
2009-08-04,0.0
2009-08-07,0.0
2009-08-10,0.0
2009-08-11,0.0
2009-08-17,20.0
2009-08-18,0.0
2009-08-19,0.0
2009-08-20,-33.3333
2009-08-21,0.0
2009-08-24,-25.0
2009-08-25,0.0
2009-08-26,100.0
2009-08-27,0.0
2009-08-28,0.0
2009-08-31,0.0
2009-09-01,-33.3333
2009-09-03,25.0
2009-09-10,0.0
2009-09-11,-40.0
2009-09-14,33.3333
2009-09-18,0.0
2009-09-21,0.0
2009-09-23,50.0
2009-09-24,41.6667
2009-09-25,-17.647100000000002
2009-09-28,-14.2857
2009-09-29,16.6667
2009-09-30,-14.2857
2009-10-01,-16.6667
2009-10-02,20.0
2009-10-06,16.6667
2009-10-07,0.0
