ticker,FFLO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-22,0.0
2015-08-05,4900.0
2015-09-21,-12.5
2015-12-16,-98.8643
2016-01-11,4931.4465
2016-09-08,-55.0
2016-09-15,122.2222
2016-12-29,-70.0
2016-12-30,70.0
2017-02-22,-6.0784
2017-05-17,108.7683
2017-05-18,0.0
2017-06-07,0.0
2017-06-27,50.0
2017-06-28,-30.0
2017-07-06,0.0
2017-07-07,-11.4286
2017-07-12,-3.2258
2017-09-21,11.1111
2017-09-22,-90.0
2018-07-11,1400.0
2018-07-13,-33.3333
2018-07-27,10.0
2018-08-14,0.0
2018-08-29,0.0
2018-10-02,-99.9091
2018-10-03,99900.0
2018-10-04,-6.0
2019-03-06,32.9787
2019-03-08,-19.2
2019-03-21,-0.9901
2019-04-24,-44.0
2019-05-10,0.0
2019-08-26,0.0
2019-09-25,69.6429
2019-10-04,-21.0526
2019-10-11,-22.6667
2020-01-09,89.6552
2020-01-10,-31.8147
2020-01-13,-20.0041
2020-02-06,75.0
2020-02-13,0.0
2020-02-18,-47.619
2020-02-27,-7.2727
2020-06-15,-41.1765
