ticker,IRTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-20,53.2353
2016-10-21,-0.9981
2016-10-24,3.5285
2016-10-25,-0.0749
2016-10-26,-3.5232
2016-10-27,-2.7972
2016-10-28,-3.0775
2016-10-31,2.8866
2016-11-01,3.1663
2016-11-02,-3.2634
2016-11-03,-6.1847
2016-11-04,-1.1985999999999999
2016-11-07,1.9064
2016-11-08,-0.8929
2016-11-09,1.8876
2016-11-10,-0.2105
2016-11-11,2.2363
2016-11-14,2.435
2016-11-15,3.4649
2016-11-16,0.8567
2016-11-17,5.9846
2016-11-18,11.0747
2016-11-21,-1.7055
2016-11-22,-2.7027
2016-11-23,0.1715
2016-11-25,0.4108
2016-11-28,1.5002
2016-11-29,3.9301
2016-11-30,-1.4221
2016-12-01,-2.2951
2016-12-02,-2.7517
2016-12-05,0.5866
2016-12-06,-5.6604
2016-12-07,0.2182
2016-12-08,-2.0319
2016-12-09,-0.963
2016-12-12,-2.7674
2016-12-13,-0.9231
2016-12-14,-2.4845
2016-12-15,6.0111
2016-12-16,3.6425
2016-12-19,1.0145
2016-12-20,-0.1076
2016-12-21,-1.149
2016-12-22,-0.109
2016-12-23,2.9818
2016-12-27,0.3884
2016-12-28,1.1256
2016-12-29,0.7304
2016-12-30,3.5911999999999997
2017-01-03,-0.0333
2017-01-04,-0.967
2017-01-05,-0.303
2017-01-06,1.3171
2017-01-09,5.0
2017-01-10,0.3175
2017-01-11,-1.3608
2017-01-12,-1.2833
2017-01-13,-0.6825
2017-01-17,-2.945
2017-01-18,-0.8429
2017-01-19,0.578
2017-01-20,1.3860999999999999
2017-01-23,-0.6335
2017-01-24,2.2819
2017-01-25,1.3123
2017-01-26,0.2591
2017-01-27,1.3889
2017-01-30,0.1911
2017-01-31,3.752
2017-02-01,0.2452
2017-02-02,-0.1529
2017-02-03,0.1531
2017-02-06,0.5809
2017-02-07,4.8632
2017-02-08,4.9855
2017-02-09,-1.6842000000000001
2017-02-10,0.702
2017-02-13,2.3146
2017-02-14,-1.6353
2017-02-15,-0.2771
2017-02-16,-2.0561
2017-02-17,7.3759
2017-02-21,1.0568
2017-02-22,2.1961
2017-02-23,1.9186
2017-02-24,-0.3012
2017-02-27,0.0
2017-02-28,-3.0211
2017-03-01,2.2845
2017-03-02,-2.2843
2017-03-03,-2.7013
2017-03-06,-2.7496
2017-03-07,-0.8235
2017-03-08,-1.3009
2017-03-09,-1.5143
2017-03-10,0.4271
2017-03-13,0.1134
2017-03-14,0.0
