ticker,KGNR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-10,3.9604
2015-06-16,0.9524
2015-06-22,0.3774
2015-06-23,1.5038
2015-06-30,0.0
2015-07-06,1.8519
2015-07-07,-7.2727
2015-07-08,7.6471
2015-07-09,6.0109
2015-07-10,-1.2027
2015-07-13,-38.9565
2015-07-14,21.0826
2015-07-15,3.5294
2015-07-16,4.5455
2015-07-20,11.9565
2015-07-21,-16.5049
2015-07-22,-2.3256
2015-07-23,-22.619
2015-07-24,-7.6923
2015-07-27,20.0
2015-07-29,-37.5
2015-07-30,33.3333
2015-07-31,-8.3333
2015-08-06,-9.0909
2015-08-10,2.0
2015-08-11,1.9607999999999999
2015-08-12,-13.461500000000001
2015-09-02,10.6667
2015-09-11,-7.2289
2015-09-16,-0.4329
2015-09-17,-2.1739
2015-09-18,-2.2222
2015-09-28,-9.0909
2015-10-08,5.0
2015-10-13,-4.7619
2015-10-15,-7.5
2015-10-30,-2.7027
2015-11-02,0.0
2015-11-03,-8.3333
2015-11-09,39.3939
2015-12-07,4.3478
2015-12-10,0.0
2015-12-11,0.0
2015-12-14,0.0
2015-12-21,0.0
2015-12-22,0.0
2015-12-30,-16.6667
2016-01-05,0.0
2016-01-28,-42.0
2016-02-02,-22.4138
2016-02-03,0.0
2016-02-10,11.1111
2016-02-17,31.0
2016-02-18,24.4275
2016-02-25,-7.9755
2016-02-26,33.3333
2016-05-23,-25.0
2016-08-09,0.0
2016-10-24,6.6667
2016-11-03,-6.25
2016-11-07,-33.3333
2017-01-19,0.0
2017-02-23,0.0
2017-03-31,-20.0
2017-04-06,19.25
2017-04-20,-16.1426
2017-08-03,0.0
2017-10-06,181.25
2017-10-09,-6.6667
2017-10-11,-0.4762
2017-10-18,-4.3062000000000005
2017-10-31,-15.0
2017-11-06,0.0
2017-11-08,0.0
2017-11-10,0.0
2017-11-13,0.0
2017-11-14,-26.4706
2017-11-20,0.0
2017-11-21,0.0
2018-01-25,0.0
2018-01-31,0.0
2018-04-19,0.0
2018-04-30,-20.0
2018-05-16,0.0
2018-05-21,-5.0
2018-07-30,-31.5789
2018-08-01,-15.3846
2018-08-24,6.8182
2018-12-31,-40.4255
2019-05-15,0.0
2020-02-05,-2.8571
2020-02-06,0.0
2020-02-11,-11.7647
2020-03-10,-18.3333
2020-03-20,-18.3265
2020-04-09,-45.0275
2020-06-05,81.8182
2020-06-10,-45.0
2020-06-15,81.8182
2020-06-23,-45.0
