ticker,NUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.6897
2000-01-04,-0.6849
2000-01-05,-1.3793
2000-01-06,-1.3986
2000-01-07,0.7092
2000-01-10,0.0
2000-01-11,4.2254
2000-01-12,0.6757
2000-01-13,-1.3423
2000-01-14,0.6803
2000-01-18,0.0
2000-01-19,-0.6757
2000-01-20,0.6803
2000-01-21,-0.6757
2000-01-24,-0.6803
2000-01-25,-5.4795
2000-01-26,-4.3478
2000-01-27,3.0303
2000-01-28,-2.2059
2000-01-31,0.7519
2000-02-01,0.7463
2000-02-02,-3.7037
2000-02-03,1.5385
2000-02-04,0.0
2000-02-07,-0.7576
2000-02-08,-1.5267
2000-02-09,7.7519
2000-02-10,14.3885
2000-02-11,-1.8868
2000-02-14,-2.5641
2000-02-15,4.6053
2000-02-16,-2.5157
2000-02-17,4.5161
2000-02-18,-1.2346
2000-02-22,-1.25
2000-02-23,-1.2658
2000-02-24,-1.2821
2000-02-25,0.0
2000-02-28,-5.1948
2000-02-29,-2.0548
2000-03-01,0.0
2000-03-02,3.4965
2000-03-03,2.027
2000-03-06,-1.3245
2000-03-07,-2.6846
2000-03-08,2.069
2000-03-09,-0.6757
2000-03-10,-1.3605
2000-03-13,-0.6897
2000-03-14,-2.0833
2000-03-15,-3.5461
2000-03-16,5.1471
2000-03-17,0.0
2000-03-20,0.0
2000-03-21,-1.3986
2000-03-22,1.4184
2000-03-23,1.3986
2000-03-24,-2.069
2000-03-27,-4.2254
2000-03-28,-0.7353
2000-03-29,-4.4444
2000-03-30,-2.3256
2000-03-31,0.7937
2000-04-03,2.3622
2000-04-04,-2.3077
2000-04-05,-1.5748
2000-04-06,2.4
2000-04-07,0.7813
2000-04-10,0.0
2000-04-11,-2.3256
2000-04-12,-1.5873
2000-04-13,0.0
2000-04-14,-3.2258
2000-04-17,0.0
2000-04-18,0.0
2000-04-19,-3.3333
2000-04-20,-0.8621
2000-04-24,0.8696
2000-04-25,1.7241
2000-04-26,1.6949
2000-04-27,0.0
2000-04-28,2.5
2000-05-01,0.813
2000-05-02,0.0
2000-05-03,-1.6129
2000-05-04,0.0
2000-05-05,0.0
2000-05-08,-0.8197
2000-05-09,1.6529
2000-05-10,-2.439
2000-05-11,-0.8333
2000-05-12,-1.6806999999999999
2000-05-15,-1.7094
2000-05-16,-0.8696
2000-05-17,-2.6316
2000-05-18,0.0
2000-05-19,-1.8018
2000-05-22,-2.7523
2000-05-23,1.8868
2000-05-24,-2.7778
