ticker,BIP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-01-11,2.1053
2008-01-14,3.3505
2008-01-15,-0.4988
2008-01-16,-0.7519
2008-01-17,0.5051
2008-01-18,0.5025
2008-01-22,-1.75
2008-01-23,4.8346
2008-01-24,-0.4854
2008-01-25,2.439
2008-01-28,0.7143
2008-01-29,-0.7092
2008-01-30,0.4762
2008-01-31,-0.7109
2008-02-01,-2.1002
2008-02-04,-1.5602
2008-02-05,-1.8326
2008-02-06,-2.6236
2008-02-07,-0.2591
2008-02-08,1.0909
2008-02-11,-0.8222
2008-02-12,-1.0363
2008-02-13,-0.7853
2008-02-14,0.6332
2008-02-15,0.839
2008-02-19,-0.832
2008-02-20,-0.8915
2008-02-21,-0.2646
2008-02-22,1.4324
2008-02-25,0.6799
2008-02-26,0.0
2008-02-27,-0.5288
2008-02-28,-0.8395
2008-02-29,-0.5291
2008-03-03,-0.266
2008-03-04,-0.9067
2008-03-05,-2.099
2008-03-06,3.3535
2008-03-07,-3.0851
2008-03-10,-3.4029
2008-03-11,-0.3977
2008-03-12,-1.8824999999999998
2008-03-13,-2.3256
2008-03-14,-3.8689999999999998
2008-03-17,-4.644
2008-03-18,0.0
2008-03-19,-1.4935
2008-03-20,2.3072
2008-03-24,12.7577
2008-03-25,4.5714
2008-03-26,2.1851
2008-03-27,-5.4004
2008-03-28,-0.1131
2008-03-31,-4.0747
2008-04-01,5.5457
2008-04-02,0.6149
2008-04-03,1.3889
2008-04-04,-0.5479
2008-04-07,2.3691
2008-04-08,-1.8298999999999999
2008-04-09,-1.4254
2008-04-10,0.9455
2008-04-11,-0.4959
2008-04-14,-1.7165
2008-04-15,-0.2817
2008-04-16,1.9209
2008-04-17,-0.5543
2008-04-18,1.5608
2008-04-21,0.1647
2008-04-22,-1.4795
2008-04-23,-0.2781
2008-04-24,-1.7288999999999999
2008-04-25,5.1078
2008-04-28,4.4816
2008-04-29,1.8088
2008-04-30,0.8629
2008-05-01,2.1449
2008-05-02,-0.3261
2008-05-05,-0.7415
2008-05-06,0.1494
2008-05-07,-0.2984
2008-05-08,2.6933
2008-05-09,-0.4371
2008-05-12,-0.8293
2008-05-13,0.1968
2008-05-14,-1.7673
2008-05-15,0.4498
2008-05-16,-0.199
2008-05-19,0.1994
2008-05-20,0.8458
2008-05-21,0.888
2008-05-22,0.0
2008-05-23,-1.1736
2008-05-27,-2.6719
2008-05-28,-2.4148
2008-05-29,-0.7924
2008-05-30,0.426
2008-06-02,-0.1591
