ticker,DEWM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-03-01,100.0
2011-03-02,0.0
2011-03-03,18.75
2011-03-09,-15.7895
2011-03-23,-25.0
2011-04-13,-26.6667
2011-04-25,-9.0909
2011-11-11,70.0
2011-11-18,17.647100000000002
2011-12-09,-35.0
2012-02-13,15.3846
2012-02-24,-13.3333
2012-03-30,15.3846
2012-04-02,0.0
2012-04-19,0.0
2012-04-26,-26.6667
2012-06-14,354.5455
2012-06-18,-64.0
2012-06-20,0.0
2012-06-26,0.0
2012-06-27,-11.1111
2012-06-29,12.5
2012-07-02,0.0
2012-07-06,0.0
2012-07-10,-22.2222
2012-07-11,-21.4286
2012-07-12,9.0909
2012-07-16,0.0
2012-07-18,-16.6667
2012-07-19,10.0
2012-07-24,18.1818
2012-07-26,7.6923
2012-07-27,0.0
2012-07-30,-7.1429
2012-07-31,-23.0769
2012-08-01,-10.0
2012-08-02,0.0
2012-08-03,-26.6667
2012-08-06,-8.806799999999999
2012-08-07,-33.541
2012-08-08,0.0
2012-08-09,25.0
2012-08-10,-20.0
2012-08-13,-25.0
2012-08-14,0.0
2012-08-15,10.0
2012-08-16,3.0303
2012-08-17,2.9412000000000003
2012-08-20,-2.8571
2012-08-22,0.0
2012-08-23,-2.9412000000000003
2012-08-27,0.0
2012-08-28,-8.7121
2012-08-30,2.9046
2012-08-31,-3.2258
2012-09-06,3.3333
2012-09-07,-16.129
2012-09-11,-13.461500000000001
2012-09-12,0.0
2012-09-13,-33.3333
2012-09-14,-26.6667
2012-09-17,-9.0909
2012-09-19,-20.0
2012-09-20,-25.0
2012-09-21,0.0
2012-09-24,-46.875
2012-09-25,3.9215999999999998
2012-09-26,-9.434
2012-09-27,-12.5
2012-10-03,0.0
2012-10-04,128.5714
2012-10-05,-38.5417
2012-10-09,-5.0847
2012-10-10,-14.2857
2012-10-11,0.0
2012-10-12,-10.4167
2012-10-17,-2.3256
2012-10-18,38.0952
2012-10-22,258.6207
2012-10-23,-30.7692
2012-10-24,-42.3611
2012-10-25,-13.253
2012-10-26,-13.8889
2012-10-31,3.2258
2012-11-01,-12.5
2012-11-05,23.2143
2012-11-06,39.1304
2012-11-07,-53.125
2012-11-08,31.1111
2012-11-13,-1.6949
2012-11-14,18.9655
2012-11-15,-15.942
2012-11-16,-6.8966
2012-11-19,-37.037
2012-11-20,111.7647
2012-11-21,-30.5556
2012-11-23,0.0
2012-11-26,-4.0
2012-11-27,-20.8333
2012-11-28,10.526299999999999
