ticker,PZRXQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-18,0.4
2016-05-19,1.5936
2016-05-20,-0.1961
2016-05-23,1.1788
2016-05-24,-2.7184
2016-05-25,-1.5968
2016-05-26,14.4016
2016-05-27,-4.2553
2016-05-31,2.963
2016-06-01,-3.1475
2016-06-02,-2.4675000000000002
2016-06-03,-1.7541
2016-06-06,2.1318
2016-06-07,-2.4668
2016-06-08,1.1673
2016-06-09,-1.9231
2016-06-10,2.1569
2016-06-13,-0.5758
2016-06-14,-1.7375
2016-06-15,-1.7682
2016-06-16,0.0
2016-06-17,3.6
2016-06-20,-6.9498
2016-06-21,-0.4149
2016-06-22,-4.1667
2016-06-23,1.087
2016-06-24,-12.9032
2016-06-27,-8.642
2016-06-28,10.8108
2016-06-29,0.2439
2016-06-30,1.7032
2016-07-01,-1.1962
2016-07-05,-0.2421
2016-07-06,2.4272
2016-07-07,1.0145
2016-07-08,-3.7020999999999997
2016-07-11,4.7473
2016-07-12,-3.4856
2016-07-13,0.241
2016-07-14,-1.6827
2016-07-15,4.89
2016-07-18,-4.8951
2016-07-19,0.4902
2016-07-20,-5.1585
2016-07-21,-8.448
2016-07-25,3.0899
2016-07-26,-9.2643
2016-07-27,-1.5015
2016-07-28,-2.1303
2016-07-29,-0.0039
2016-08-01,-0.3115
2016-08-02,-5.0
2016-08-03,-4.6053
2016-08-04,0.3448
2016-08-05,9.7938
2016-08-08,-1.4085
2016-08-09,-5.7143
2016-08-10,-2.0202
2016-08-11,9.2375
2016-08-12,2.5599
2016-08-15,-0.9259
2016-08-16,-0.3096
2016-08-17,-1.8634
2016-08-18,4.7468
2016-08-19,-5.136
2016-08-22,-2.7269
2016-08-23,1.4938
2016-08-25,0.6452
2016-08-26,1.4042
2016-08-29,1.7759
2016-08-30,-0.6211
2016-08-31,-3.125
2016-09-02,7.0968
2016-09-06,-1.2048
2016-09-07,-2.439
2016-09-08,-2.8125
2016-09-09,2.5723000000000003
2016-09-12,-0.3135
2016-09-13,-3.4591
2016-09-14,-6.5147
2016-09-15,1.3937
2016-09-16,-5.1546
2016-09-19,-3.9855
2016-09-20,-2.2641999999999998
2016-09-21,-3.4749
2016-09-22,2.0
2016-09-23,1.5686
2016-09-26,-1.9304999999999999
2016-09-27,-2.7559
2016-09-28,-3.8462
2016-09-29,-4.4211
2016-09-30,13.2159
2016-10-03,4.2802
2016-10-04,-6.7164
2016-10-05,-5.6
2016-10-06,4.2426
2016-10-07,-2.0375
