ticker,NWLI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.1858
2000-01-04,0.557
2000-01-05,4.2322
2000-01-06,-2.2109
2000-01-07,0.8696
2000-01-10,4.8276
2000-01-11,-4.4408
2000-01-12,-0.6885
2000-01-13,-1.5598
2000-01-14,-0.3521
2000-01-18,1.0601
2000-01-19,0.6993
2000-01-20,0.0
2000-01-21,-2.0833
2000-01-24,-2.1277
2000-01-25,-0.7246
2000-01-26,2.5547
2000-01-27,-0.1779
2000-01-28,-0.5348
2000-01-31,0.3584
2000-02-01,0.0
2000-02-02,1.4285999999999999
2000-02-03,-1.7386
2000-02-04,1.411
2000-02-07,-2.4735
2000-02-08,2.1739
2000-02-09,1.1525
2000-02-10,-0.0876
2000-02-11,-0.7018
2000-02-14,-0.7067
2000-02-15,-1.4235
2000-02-16,2.3466
2000-02-17,0.0
2000-02-18,-0.5291
2000-02-22,-1.4184
2000-02-23,0.0
2000-02-24,0.0
2000-02-25,1.0791
2000-02-28,2.4911
2000-02-29,-3.4722
2000-03-01,3.5971
2000-03-02,-3.125
2000-03-03,4.4803
2000-03-06,0.0
2000-03-07,2.916
2000-03-08,-7.3333
2000-03-09,3.5971
2000-03-10,0.0
2000-03-13,1.2153
2000-03-14,-1.8868
2000-03-15,2.0979
2000-03-16,1.0274
2000-03-17,-1.0169
2000-03-20,-0.5137
2000-03-21,-2.7539
2000-03-22,1.9468999999999999
2000-03-23,4.1667
2000-03-24,-0.0833
2000-03-27,-0.5838
2000-03-28,2.0134
2000-03-29,3.9474
2000-03-30,0.0
2000-03-31,2.5316
2000-04-03,-5.7099
2000-04-04,-2.455
2000-04-05,0.4195
2000-04-06,2.2556
2000-04-07,-0.6536
2000-04-10,-0.9868
2000-04-11,-6.6445
2000-04-12,-1.7793999999999999
2000-04-13,-1.2681
2000-04-14,-1.1009
2000-04-17,-0.1855
2000-04-19,0.0
2000-04-20,0.0
2000-04-24,2.6022
2000-04-26,3.442
2000-04-27,-0.1751
2000-04-28,4.4737
2000-05-01,1.7631999999999999
2000-05-02,0.33
2000-05-03,0.0
2000-05-04,5.2632
2000-05-05,-1.5430000000000001
2000-05-08,0.1389
2000-05-09,-1.9017
2000-05-10,0.4847
2000-05-11,-0.3215
2000-05-15,0.0
2000-05-16,-3.2258
2000-05-17,-1.0
2000-05-18,0.6734
2000-05-19,0.1672
2000-05-22,-0.1669
2000-05-23,1.1706
2000-05-24,-2.1488
2000-05-25,1.3514
2000-05-26,-2.6667
