ticker,GNSG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-14,150.0
2013-06-24,300.0
2013-06-25,0.0
2013-07-01,0.0
2013-07-10,-75.0
2013-07-25,500.0
2013-11-06,0.0
2013-12-09,-33.3333
2013-12-20,-75.0
2014-01-31,-40.0
2014-03-04,900.0
2014-03-14,33.3333
2015-10-13,-97.5
2016-01-22,2900.0
2016-02-24,-60.0
2016-02-26,33.3333
2016-03-03,0.0
2016-03-04,-12.5
2016-03-07,-14.2857
2016-03-14,-16.6667
2016-03-17,0.0
2016-03-22,0.0
2016-03-24,0.0
2016-04-07,0.0
2016-04-20,0.0
2016-06-15,-60.0
2016-06-16,-20.0
2016-06-17,-25.0
2016-09-07,150.0
2016-09-09,0.0
2016-09-12,-6.6667
2016-09-13,-7.1429
2016-09-22,0.0
2016-09-23,-7.6923
2017-04-20,-58.3333
2017-04-26,142.5
2017-08-08,-17.5258
2017-08-30,0.0
2017-09-27,229.5
2017-09-28,-27.1624
2017-09-29,0.0
2017-10-02,-16.6667
2017-10-03,-7.75
2017-10-04,-18.6992
2017-10-05,0.0
2017-10-06,0.0
2017-10-09,0.0
2017-10-10,23.0
2017-10-11,0.0
2017-10-20,-18.6992
2017-10-25,-2.6667
2017-10-26,-31.5068
2017-11-27,-50.0
2017-12-18,0.0
2017-12-29,-80.0
2018-01-12,80.0
2018-04-12,-5.5556
2018-04-20,-11.7647
2018-05-07,6.6667
2018-06-15,12.5
2018-08-03,-33.3333
2018-08-28,0.0
2018-10-09,6.6667
2018-10-16,56.25
2018-10-30,0.0
2018-12-20,-20.0
2019-01-22,15.0
2019-01-29,-13.0435
2019-01-31,0.0
2019-02-01,0.0
2019-07-15,-6.25
2019-09-13,100.0
2019-09-17,-50.0
2019-10-18,-13.3333
2019-11-07,130.7692
2019-12-13,-50.0
2019-12-16,0.0
2020-01-30,0.0
2020-04-30,0.0
2020-07-20,166.6667
