ticker,FDS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.7849
2000-01-04,-7.5949
2000-01-05,0.0
2000-01-06,-2.911
2000-01-07,-0.5291
2000-01-10,-9.0426
2000-01-11,4.5809
2000-01-12,-3.5415
2000-01-13,6.6667
2000-01-14,-0.5435
2000-01-18,2.9144
2000-01-19,4.6903
2000-01-20,0.7608
2000-01-21,-0.9228
2000-01-24,0.0847
2000-01-25,-2.1151
2000-01-26,-2.3336
2000-01-27,-0.177
2000-01-28,-2.8369
2000-01-31,-2.1898
2000-02-01,0.3731
2000-02-02,-1.3941
2000-02-03,1.4138
2000-02-04,-3.9032999999999998
2000-02-07,-3.4816
2000-02-08,-3.006
2000-02-09,-1.4463
2000-02-10,0.0
2000-02-11,1.0482
2000-02-14,-6.0166
2000-02-15,-2.2075
2000-02-16,0.4515
2000-02-17,0.2247
2000-02-18,2.2422
2000-02-22,0.0
2000-02-23,-0.6579
2000-02-24,-1.9868000000000001
2000-02-25,-0.5676
2000-02-28,5.8957
2000-02-29,3.212
2000-03-01,3.527
2000-03-02,2.8056
2000-03-03,-0.1949
2000-03-06,-5.2734
2000-03-07,-3.7113
2000-03-08,-0.8565
2000-03-09,1.5119
2000-03-10,4.8936
2000-03-13,7.5051
2000-03-14,-2.6414999999999997
2000-03-15,-4.0698
2000-03-16,9.2929
2000-03-17,-2.403
2000-03-20,-5.6818
2000-03-21,-6.8273
2000-03-22,-6.8966
2000-03-23,-0.463
2000-03-24,0.9302
2000-03-27,-3.6866
2000-03-28,0.0
2000-03-29,-0.9569
2000-03-30,-2.8986
2000-03-31,7.7114
2000-04-03,-2.0785
2000-04-04,-0.9434
2000-04-05,2.8571
2000-04-06,4.6296
2000-04-07,3.5398
2000-04-10,-3.6325
2000-04-11,-3.1042
2000-04-12,-0.2288
2000-04-13,3.211
2000-04-14,-2.0
2000-04-17,4.3084
2000-04-18,2.6087
2000-04-19,-1.4830999999999999
2000-04-20,3.2258
2000-04-24,0.0
2000-04-25,-1.6667
2000-04-26,0.0
2000-04-27,1.4830999999999999
2000-04-28,-3.9666
2000-05-01,3.2609
2000-05-02,-0.2105
2000-05-03,-0.211
2000-05-04,1.4799
2000-05-05,1.6667
2000-05-08,-1.8443
2000-05-09,-1.0438
2000-05-10,2.1097
2000-05-11,-4.1322
2000-05-12,-0.2155
2000-05-15,-4.1037
2000-05-16,-4.955
2000-05-17,0.7109
2000-05-18,-9.8824
2000-05-19,-6.2663
2000-05-22,-3.6212
