ticker,SYTA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-10,690.0
2000-03-13,-3.7975
2000-03-14,0.0
2000-03-17,-13.1579
2000-03-22,-21.2121
2000-04-05,-17.3077
2000-04-19,-20.9302
2000-04-28,-14.7059
2000-05-15,-37.931
2000-12-01,-52.7778
2001-04-11,-52.9412
2001-11-15,-68.4375
2001-12-19,200.9901
2002-01-14,52.6316
2003-12-30,-51.7241
2004-03-01,71.4286
2004-03-02,0.0
2004-06-25,-37.5
2004-09-02,13.3333
2004-09-28,-5.8824
2004-12-29,-34.375
2004-12-31,23.8095
2005-01-11,-7.6923
2005-01-12,16.6667
2005-11-29,2.8571
2005-12-28,-30.5556
2005-12-29,-3.25
2006-04-13,540.8269
2006-04-19,22.5806
2006-04-21,9.6546
2006-05-16,-32.8034
2006-06-13,-42.8571
2006-09-07,106.25
2006-11-08,-1.9129
2006-11-28,-4.2286
2006-12-04,3.1048
2006-12-20,7.939
2006-12-29,-6.9928
2007-01-05,13.1671
2007-02-08,-31.1188
2007-02-12,3.948
2007-02-13,7.6923
2007-02-22,20.1116
2007-03-08,-22.9325
2007-03-19,-15.1194
2007-04-13,56.8182
2007-04-19,-2.1739
2007-04-20,5.1852
2007-04-23,-8.0282
2007-04-25,-3.5221999999999998
2007-04-26,-0.7937
2007-04-30,2.4
2007-05-01,0.0
2007-05-02,-5.3711
2007-05-03,-7.5335
2007-05-04,0.0
2007-05-07,-8.9286
2007-05-14,1.1275
2007-05-15,-6.9317
2007-05-24,-6.0417
2007-05-25,0.388
2007-05-29,-9.4423
2007-06-12,-24.5427
2007-06-13,11.2727
2007-06-15,-12.854
2007-07-05,0.0
2007-07-12,20.0
2007-07-13,5.7292
2007-07-17,-6.8309
2007-07-25,-5.816
2007-07-26,2.9192
2007-07-30,-26.2909
2007-08-08,-21.0656
2007-08-09,8.625
2007-08-17,-0.1151
2007-08-21,-30.8756
2007-08-27,0.0
2007-09-21,0.0
2007-09-28,-13.3333
2007-10-17,26.9231
2007-10-22,27.2727
2007-11-15,-27.1429
2007-12-19,-34.8856
2007-12-27,2.3839
2008-02-20,1.9607999999999999
2008-12-03,-90.8413
2009-03-13,32.2835
2009-05-15,265.0794
2009-08-05,-24.7826
2009-08-28,-25.0723
2009-09-01,8.0039
2009-10-06,-15.982099999999999
2009-11-03,-6.4825
2009-11-16,-4.5455
2009-12-29,28.3333
2010-01-15,80.5195
2010-02-05,-38.592
2010-02-24,-18.3264
2010-03-05,55.4303
