ticker,ELF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-22,55.8824
2016-09-23,-4.4151
2016-09-26,-0.2764
2016-09-27,-2.6128
2016-09-28,7.8862
2016-09-29,1.168
2016-09-30,4.73
2016-10-03,-4.7297
2016-10-04,-1.7917
2016-10-05,0.7602
2016-10-06,-0.4149
2016-10-07,1.0227
2016-10-10,-1.3873
2016-10-11,-2.7757
2016-10-12,4.1455
2016-10-13,1.5772
2016-10-14,-0.4067
2016-10-17,2.0045
2016-10-18,-2.1834
2016-10-19,0.558
2016-10-20,-1.5908
2016-10-21,0.7895
2016-10-24,-0.0746
2016-10-25,1.3811
2016-10-26,-1.8409
2016-10-27,0.7502
2016-10-28,-1.6381000000000001
2016-10-31,-2.1196
2016-11-01,-1.2374
2016-11-02,1.2138
2016-11-03,-0.5416
2016-11-04,2.217
2016-11-07,0.1142
2016-11-08,0.9882
2016-11-09,-3.2367
2016-11-10,0.8168
2016-11-11,4.1667
2016-11-14,8.7778
2016-11-15,-1.2598
2016-11-16,1.5516999999999999
2016-11-17,-0.3056
2016-11-18,0.1022
2016-11-21,3.1643
2016-11-22,-0.9894
2016-11-23,4.4304
2016-11-25,-1.563
2016-11-28,0.7777
2016-11-29,2.0579
2016-11-30,-0.8507
2016-12-01,-4.1945
2016-12-02,-1.8242
2016-12-05,4.1216
2016-12-06,0.2596
2016-12-07,-0.0647
2016-12-08,-1.5544
2016-12-09,1.7105000000000001
2016-12-12,-0.7439
2016-12-13,-1.4663
2016-12-14,-3.5714
2016-12-15,-1.4060000000000001
2016-12-16,2.1565
2016-12-19,0.034
2016-12-20,0.5106
2016-12-21,0.237
2016-12-22,-0.3041
2016-12-23,0.0
2016-12-27,-0.5083
2016-12-28,-0.2384
2016-12-29,-0.8535
2016-12-30,-0.3444
2017-01-03,0.0
2017-01-04,0.1728
2017-01-05,-0.138
2017-01-06,2.3834
2017-01-09,-1.9567999999999999
2017-01-10,-0.6538
2017-01-11,1.4202
2017-01-12,-1.1954
2017-01-13,-0.3111
2017-01-17,-1.1789
2017-01-18,-2.1754
2017-01-19,-2.7977
2017-01-20,-1.6236000000000002
2017-01-23,-1.3503
2017-01-24,0.4943
2017-01-25,-1.3243
2017-01-26,-2.0322
2017-01-27,-1.0176
2017-01-30,-0.2372
2017-01-31,-1.0702
2017-02-01,-0.8413
2017-02-02,-0.6061
2017-02-03,1.3820999999999999
2017-02-06,1.5237
2017-02-07,5.4107
2017-02-08,-0.7119
2017-02-09,-0.3396
