ticker,GCIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-10,-37.5
2000-01-27,133.3333
2000-03-13,-8.5714
2000-04-04,-37.5
2000-05-05,0.0
2000-07-17,0.0
2000-07-18,-50.0
2000-08-25,0.0
2000-09-27,12.0
2000-10-09,57.1429
2000-10-24,-36.3636
2000-10-27,0.0
2000-10-30,57.1429
2000-11-02,0.0
2001-01-08,0.0
2001-01-12,36.3636
2001-01-16,-16.6667
2001-02-01,0.0
2001-02-02,20.0
2001-02-07,-16.6667
2001-02-09,20.0
2001-02-14,-16.6667
2001-02-22,20.0
2001-02-28,-53.3333
2001-04-09,14.2857
2001-04-16,-25.0
2001-04-24,0.0
2001-04-25,66.6667
2001-05-23,0.0
2001-06-08,50.0
2001-06-14,-46.6667
2001-06-25,25.0
2001-10-24,-50.0
2001-11-06,0.0
2001-12-18,-40.0
2002-01-23,-33.3333
2002-06-05,-95.0
2002-08-22,400.0
2002-09-30,0.0
2002-10-03,0.0
2002-10-10,0.0
2002-10-16,0.0
2002-10-31,0.0
2002-12-06,0.0
2003-07-14,0.0
2004-04-06,60.0
2004-09-29,0.0
2005-01-13,0.0
2005-03-02,150.0
2005-06-21,-55.0
2005-06-22,0.0
2006-01-31,0.0
2006-05-05,0.0
2006-05-09,122.2222
2006-05-10,0.0
2006-05-11,150.0
2006-06-01,-60.0
2006-06-14,0.0
2006-08-14,50.0
2006-09-26,-33.3333
2006-10-02,0.0
2006-10-27,0.0
2007-01-17,0.0
2007-02-14,0.0
2007-02-23,50.0
2007-02-27,100.0
2007-02-28,0.0
2007-05-07,-16.6667
2007-05-15,0.0
2007-07-25,0.0
2007-10-04,-20.0
2007-10-15,0.0
2007-12-04,-47.5
2007-12-07,80.9524
2007-12-11,18.4211
2007-12-27,-11.1111
2008-01-07,25.0
2008-07-02,0.0
2008-10-09,10.0
2008-11-11,-3.6364
2009-01-29,-20.7547
2009-02-12,30.9524
2009-02-20,-9.0909
2009-02-23,20.0
2009-03-02,0.0
2009-03-09,0.0
2009-03-12,0.0
2009-05-29,-16.6667
2009-06-23,20.0
2009-08-20,-16.6667
2009-08-28,30.0
2009-12-28,-15.3846
2010-01-05,354.5455
2010-01-08,-72.0
2010-01-11,-7.1429
2010-01-12,0.0
2010-04-22,-15.3846
2010-04-26,0.0
2010-08-02,0.0
2010-10-15,9.0909
2010-11-19,0.0
2010-12-01,0.0
2011-01-10,8.3333
2011-02-22,-15.3846
2011-06-14,27.2727
2011-07-05,42.8571
2011-07-22,0.0
2011-10-31,0.0
2011-11-10,30.0
2011-12-01,-23.0769
2011-12-13,0.0
2012-04-16,100.0
2012-05-21,0.0
2012-05-22,0.0
2012-06-22,0.0
2012-08-10,0.0
2012-10-04,0.0
2012-10-10,0.0
2012-10-17,0.0
2012-11-07,-20.0
2012-11-13,0.0
2012-11-20,25.0
2012-11-28,10.0
2012-12-11,-22.7273
2013-01-02,5.8824
2013-01-03,0.0
2013-07-18,5.5556
2013-07-22,5.2632
2013-07-24,5.0
2013-07-31,0.0
2014-01-23,-19.0476
2014-02-19,0.0
2014-03-03,0.0
2014-03-27,0.0
2014-04-08,0.0
2014-04-25,0.0
2014-07-17,17.647100000000002
2014-08-04,0.0
2014-08-12,0.0
2014-11-14,0.0
2014-12-22,5.0
2015-03-27,-4.7619
2015-04-06,25.0
2015-05-05,-20.0
2015-05-12,50.0
2015-12-18,-33.3333
2016-07-12,0.0
2016-09-28,75.0
2016-12-27,-42.8571
2017-02-01,0.0
2017-04-05,0.0
2017-12-27,0.0
2018-01-26,50.0
2018-06-11,-30.0
2018-07-02,-4.7619
2018-08-24,-25.0
2018-09-13,-13.3333
2019-02-15,15.3846
2019-02-19,-20.0
2019-02-20,25.0
2019-02-21,0.0
2019-02-28,0.0
2019-03-11,0.0
2019-03-15,0.0
2019-04-22,-6.6667
2019-05-13,-14.2857
2019-05-14,-19.1667
2019-05-29,116.4948
2019-06-03,-4.7143
2019-08-30,-25.0375
2019-10-21,0.0
2019-11-27,-26.6667
2020-02-11,-9.0909
2020-03-18,0.0
2020-04-02,0.1
2020-05-12,-0.0999
2020-05-26,-30.0
2020-06-03,27.8571
2020-06-18,11.7318
2020-07-14,100.0
