ticker,CPWY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-08-04,150.0
2000-10-23,-80.0
2000-11-08,0.0
2001-01-26,150.0
2001-02-01,20.0
2001-02-02,16.6667
2001-02-05,-14.2857
2001-02-06,-2.5
2001-02-07,29.9145
2001-03-05,5.2632
2001-03-06,-14.0625
2001-03-12,13.4545
2003-12-02,-97.4359
2004-04-05,0.0
2004-04-28,0.0
2004-11-08,200.0
2005-05-02,0.0
2005-05-04,-33.3333
2006-03-17,50.0
2006-05-08,400.0
2006-05-17,-66.6667
2006-06-22,0.0
2006-06-23,0.0
2006-08-02,83.3334
2006-08-08,18.1818
2006-08-11,23.0769
2006-08-16,-59.375
2006-10-18,-68.9231
2006-11-14,48.5149
2006-11-15,-32.6667
2006-11-17,-45.5446
2006-11-20,-45.4545
2006-11-21,0.0
2006-11-29,-16.6667
2006-12-05,-20.0
2006-12-07,-20.0
2006-12-20,25.0
2006-12-22,0.0
2006-12-26,0.0
2007-01-09,-40.0
2007-01-10,-8.3333
2007-01-23,36.3636
2007-01-24,0.0
2007-01-29,0.0
2007-01-30,0.0
2007-02-05,33.3333
2007-02-06,25.0
2007-02-12,-24.0
2007-03-07,-5.2632
2007-03-28,-11.1111
2007-04-02,-12.5
2007-04-18,0.0
2007-04-24,-28.5714
2007-04-25,-40.0
2007-05-09,-66.6667
2007-05-10,0.0
2007-05-11,-25.0
2007-05-14,0.0
2007-05-15,33.3333
2007-05-16,0.0
2007-05-21,-60.0
2007-05-23,0.0
2007-05-24,87.5
2007-05-29,0.0
2007-05-31,0.0
2007-06-20,0.0
2007-06-22,0.0
2007-07-09,-20.0
2007-07-26,0.0
2007-12-10,0.0
2008-01-24,-33.3333
2008-04-03,0.0
2008-04-11,0.0
2008-04-28,0.0
2008-04-30,0.0
2008-05-19,0.0
2008-05-22,525.0
2008-05-23,80.0
2008-05-27,-11.1111
2008-05-28,-37.5
2008-05-30,-20.0
2008-06-02,-25.0
2008-06-04,100.0
2008-06-05,-33.3333
2008-06-06,50.0
2008-06-09,-16.6667
2008-06-10,40.0
2008-06-11,14.2857
2008-06-12,0.0
2008-06-17,0.0
2008-06-18,0.0
2008-06-23,0.0
2008-06-25,0.0
2008-06-26,-25.0
2008-07-01,0.0
2008-07-09,-66.6667
2008-07-11,200.0
2008-07-15,-16.6667
2008-07-29,0.0
2008-07-30,0.0
2008-09-05,60.0
2008-09-16,-50.0
2008-09-19,12.5
2008-09-26,-22.2222
2008-09-29,0.0
