ticker,MAXR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-11-30,-1.9355
2001-01-04,28.6184
2001-05-16,8.1202
2001-06-26,-11.3542
2001-07-10,-11.2742
2001-07-26,5.1128
2001-08-03,4.4349
2001-08-09,4.0411
2001-08-15,2.9625
2001-08-23,-0.5754
2001-09-05,1.9293
2001-09-07,-1.1987
2001-09-27,-7.2158
2001-12-14,15.7605
2002-01-18,0.327
2002-01-31,2.5778
2002-04-08,-6.2392
2002-05-08,-4.1898
2002-05-09,2.5723000000000003
2002-05-10,-3.5737
2002-05-13,4.6164
2002-05-14,0.3108
2002-07-10,-1.9827
2002-07-16,-5.3097
2002-07-29,-8.2443
2002-09-12,10.3674
2002-09-16,-3.8893
2002-09-27,-14.6776
2002-10-15,-0.1608
2002-10-24,6.2802
2002-11-19,10.2273
2002-12-02,-2.0619
2003-01-07,7.7193000000000005
2003-01-08,-0.3909
2003-01-09,3.1066
2003-01-10,1.1101
2003-01-29,-3.1995
2003-02-03,-6.5457
2003-02-04,2.0111
2003-02-10,-1.2237
2003-02-21,3.9229000000000003
2003-02-24,0.3311
2003-02-25,-2.4092000000000002
2003-02-28,0.2638
2003-03-11,-3.4674
2003-03-21,9.8532
2003-03-24,-4.2621
2003-03-31,0.4651
2003-04-02,0.7937
2003-04-09,7.1522
2003-04-10,1.6534
2003-04-22,0.0
2003-04-24,-1.8072
2003-04-25,0.4601
2003-07-10,3.3282
2003-07-14,0.4728
2003-09-03,-2.3529
2003-10-08,-2.738
2003-12-03,10.9287
2003-12-23,1.34
2003-12-30,1.9284
2004-01-05,0.2162
2004-01-06,-0.1079
2004-02-23,5.5076
2004-03-10,1.1259000000000001
2004-03-12,-5.5161999999999995
2004-04-28,1.0177
2004-04-29,4.5599
2004-05-11,-2.5862
2004-06-24,1.822
2004-07-20,0.9714
2004-08-03,-0.962
2004-08-04,0.9714
2004-08-05,0.0
2004-08-09,0.0
2004-08-11,-3.7975
2004-08-17,3.9474
2004-08-26,0.0
2004-09-22,8.8861
2004-10-21,7.3704
2004-11-09,-8.6618
2004-11-12,1.5314999999999999
2004-11-15,-0.2942
2004-11-16,-0.3747
2005-01-06,4.7015
2005-01-07,2.2901
2005-02-01,-10.6234
2005-02-02,1.6208
2005-02-14,3.8666
2005-02-17,1.2099
2005-02-22,1.8391
2005-02-24,-1.3093
2005-04-08,2.6349
2005-04-21,3.9401
2005-04-28,-1.5866
2005-07-06,12.6885
2005-07-07,0.4176
2005-07-22,-0.6546
