ticker,WLFC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.9126
2000-01-04,-3.7736
2000-01-05,0.0
2000-01-06,1.4706000000000001
2000-01-07,0.4831
2000-01-10,-1.9231
2000-01-11,0.0
2000-01-12,-1.9607999999999999
2000-01-13,-1.0
2000-01-14,10.101
2000-01-18,-0.9174
2000-01-19,-1.8519
2000-01-20,-2.8302
2000-01-21,-2.9126
2000-01-24,-1.0
2000-01-25,1.0101
2000-01-26,0.0
2000-01-27,-4.0
2000-01-28,-8.3333
2000-01-31,3.4091
2000-02-01,0.0
2000-02-02,1.0989
2000-02-03,2.1739
2000-02-04,3.1915
2000-02-07,-5.1546
2000-02-08,3.2609
2000-02-09,-7.3684
2000-02-10,2.2727
2000-02-11,-2.2222
2000-02-14,4.5455
2000-02-15,1.087
2000-02-16,2.1505
2000-02-17,1.0526
2000-02-18,0.0
2000-02-22,2.0833
2000-02-23,7.1429
2000-02-24,0.0
2000-02-25,-8.5714
2000-02-28,-5.2083
2000-02-29,-7.6923
2000-03-01,1.7856999999999998
2000-03-02,7.6023
2000-03-03,5.4348
2000-03-06,1.0309
2000-03-07,-1.0204
2000-03-08,9.2784
2000-03-09,-1.8868
2000-03-10,0.0
2000-03-13,0.0
2000-03-14,-0.9615
2000-03-15,0.9709
2000-03-16,0.9615
2000-03-17,5.7143
2000-03-20,4.5045
2000-03-21,10.3448
2000-03-22,0.3906
2000-03-23,9.7276
2000-03-24,-0.7092
2000-03-27,-7.1429
2000-03-28,-7.6923
2000-03-29,5.0
2000-03-30,-6.3492
2000-03-31,-16.9492
2000-04-03,14.2857
2000-04-04,3.5714
2000-04-05,0.8621
2000-04-06,4.2735
2000-04-07,6.5574
2000-04-10,-6.1538
2000-04-11,-2.459
2000-04-12,-0.8403
2000-04-13,-6.7797
2000-04-14,-5.4545
2000-04-17,-3.8462
2000-04-18,4.0
2000-04-19,0.0
2000-04-24,-1.9231
2000-04-25,5.8824
2000-04-26,14.8148
2000-04-27,-3.2258
2000-04-28,-1.6667
2000-05-01,8.4746
2000-05-02,0.0
2000-05-03,-6.25
2000-05-04,5.0
2000-05-05,-1.1905000000000001
2000-05-08,-0.8032
2000-05-09,9.3117
2000-05-10,-1.8519
2000-05-11,-3.3962
2000-05-12,0.7813
2000-05-15,5.4264
2000-05-16,0.0
2000-05-17,-2.9412000000000003
2000-05-18,-3.0303
2000-05-19,-2.3438
2000-05-22,0.0
2000-05-23,-0.8
2000-05-24,-4.8387
