ticker,NRTSF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-24,17.616
2007-09-10,7.1577
2007-10-10,11.9142
2007-10-29,-1.6803
2007-10-30,-4.0409
2007-11-12,1.2439
2007-11-15,-13.1027
2007-12-07,-1.2544
2008-01-16,-5.336
2008-02-07,3.8729
2008-03-20,-24.4211
2008-03-26,4.5285
2008-04-22,-13.7218
2008-05-13,-25.9786
2008-05-15,6.5721
2008-05-21,1.9769
2008-06-24,8.5308
2008-07-29,-19.5049
2008-08-11,-36.6014
2008-08-22,1.6145
2008-08-29,-5.8575
2008-09-18,-6.9109
2008-09-22,-9.1209
2008-09-23,-6.042
2008-09-24,-0.6144
2008-09-26,0.5452
2008-09-30,-3.2223
2008-11-06,-29.42
2008-11-20,-26.5523
2009-01-27,-62.8131
2009-02-09,46.5014
2009-02-10,-1.7698
2009-02-17,1.487
2009-03-30,-24.0019
2009-04-07,2.8257
2009-04-08,3.4920999999999998
2009-04-17,7.9946
2009-08-14,4.3849
2009-08-17,-0.9524
2009-08-18,15.2301
2009-08-19,3.9859999999999998
2009-08-20,2.8301
2009-08-21,8.194
2009-08-24,1.874
2009-08-25,-11.8655
2009-08-26,-2.2235
2009-08-31,-0.2347
2009-09-03,-0.2574
2009-09-14,7.0844
2009-09-17,5.0117
2009-09-18,-2.6288
2009-09-22,-1.9727000000000001
2009-09-24,1.4492
2009-09-25,0.7379
2009-09-30,-1.4651
2009-10-01,-2.3326000000000002
2009-10-02,-5.0279
2009-10-08,5.3382
2009-10-09,-3.1132
2009-10-15,1.3401
2009-10-20,2.602
2009-10-27,-3.6585
2009-11-04,18.527
2009-11-05,-8.4284
2009-11-06,-3.3596
2009-11-12,5.4306
2009-11-13,4.0583
2009-11-16,-4.1375
2009-11-17,-4.4269
2009-11-20,0.3957
2009-11-23,-1.6646999999999998
2009-11-24,-0.387
2009-12-01,0.9989
2009-12-08,1.6827
2009-12-11,-1.6751
2009-12-29,1.999
2010-01-06,-1.7241
2010-01-07,15.0356
2010-01-11,-7.4943
2010-01-12,39.2066
2010-01-14,-8.0588
2010-01-15,0.9963
2010-01-20,-4.7828
2010-01-25,-5.8759
2010-01-26,2.6516
2010-02-05,-6.4226
2010-02-09,0.0
2010-02-18,-2.9051
2010-02-25,-4.2735
2010-03-02,-1.376
2010-03-03,-8.5227
2010-03-15,-9.717
2010-03-16,-10.717
2010-03-17,-14.0839
2010-03-18,2.0727
2010-03-19,11.8227
2010-03-25,-10.5989
2010-03-26,-5.0488
