ticker,TTD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-21,67.2222
2016-09-22,-3.9867
2016-09-23,-4.2907
2016-09-26,0.3977
2016-09-27,7.9582
2016-09-28,11.3742
2016-09-29,-13.1776
2016-09-30,0.7589
2016-10-03,-9.6885
2016-10-04,-9.6664
2016-10-05,3.9866
2016-10-06,5.2462
2016-10-07,0.6902
2016-10-10,-3.7319
2016-10-11,0.9494
2016-10-12,5.4075
2016-10-13,-3.4572
2016-10-14,1.5017
2016-10-17,-0.3414
2016-10-18,-1.4846
2016-10-19,-1.6229
2016-10-20,4.0456
2016-10-21,3.7373
2016-10-24,3.7846
2016-10-25,0.9818
2016-10-26,-2.1528
2016-10-27,-9.4393
2016-10-28,0.3527
2016-10-31,-1.679
2016-11-01,0.2383
2016-11-02,-3.2092
2016-11-03,-6.2628
2016-11-04,4.2358
2016-11-07,-4.0637
2016-11-08,-0.4367
2016-11-09,0.6579
2016-11-10,2.0915
2016-11-11,8.6214
2016-11-14,1.2574
2016-11-15,-2.0179
2016-11-16,0.4356
2016-11-17,2.2476
2016-11-18,12.2252
2016-11-21,0.7904
2016-11-22,-2.0457
2016-11-23,5.0818
2016-11-25,-3.6767
2016-11-28,-8.1843
2016-11-29,1.573
2016-11-30,-1.9912
2016-12-01,-1.8811
2016-12-02,0.4601
2016-12-05,1.6031
2016-12-06,5.5597
2016-12-07,-1.8505
2016-12-08,-0.6164
2016-12-09,0.2189
2016-12-12,6.8802
2016-12-13,-0.2384
2016-12-14,-4.4042
2016-12-15,5.4286
2016-12-16,-0.9824
2016-12-19,-0.0342
2016-12-20,6.4339
2016-12-21,-2.3794
2016-12-22,-0.1318
2016-12-23,-0.5607
2016-12-27,-0.6965
2016-12-28,-4.843
2016-12-29,-0.3861
2016-12-30,-2.5018000000000002
2017-01-03,-2.6744
2017-01-04,0.6313
2017-01-05,1.2915
2017-01-06,0.9107
2017-01-09,2.6715
2017-01-10,1.4768
2017-01-11,3.0839
2017-01-12,-1.2772999999999999
2017-01-13,-0.0681
2017-01-17,-1.2266
2017-01-18,0.069
2017-01-19,-0.0345
2017-01-20,0.8966
2017-01-23,1.8113000000000001
2017-01-24,-0.47
2017-01-25,2.5632
2017-01-26,1.2167
2017-01-27,0.1624
2017-01-30,-3.5031
2017-01-31,-0.3025
2017-02-01,-0.236
2017-02-02,-1.9263
2017-02-03,-0.3446
2017-02-06,-0.4149
2017-02-07,-0.8681
2017-02-08,-0.7356
2017-02-09,2.4699999999999998
