ticker,MTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-01-08,48.5
2019-01-09,27.1044
2019-01-10,-4.2384
2019-01-11,23.0982
2019-01-14,-10.6742
2019-01-15,-5.9119
2019-01-16,-9.492
2019-01-17,-9.7489
2019-01-18,3.928
2019-01-22,-1.8898000000000001
2019-01-23,3.2103
2019-01-24,-0.4666
2019-01-25,3.4375
2019-01-28,-1.8127
2019-01-29,-4.6169
2019-01-30,-1.1194
2019-01-31,6.0256
2019-02-01,-2.1523
2019-02-04,3.7736
2019-02-05,-4.8545
2019-02-06,-4.2933
2019-02-07,-0.1647
2019-02-08,-4.8349
2019-02-11,0.2995
2019-02-12,-18.1086
2019-02-13,-2.9851
2019-02-14,-1.0879
2019-02-15,5.3216
2019-02-19,9.7046
2019-02-20,-6.9231
2019-02-21,1.2397
2019-02-22,3.6734999999999998
2019-02-25,6.2362
2019-02-26,-0.4966
2019-02-27,-3.352
2019-02-28,1.1561
2019-03-01,-3.4305
2019-03-04,-4.9291
2019-03-05,4.5643
2019-03-06,7.3413
2019-03-07,9.9815
2019-03-08,-12.1008
2019-03-11,-1.1472
2019-03-12,0.1934
2019-03-13,-2.8958
2019-03-14,0.3976
2019-03-15,-0.699
2019-03-18,-0.692
2019-03-19,4.4177
2019-03-20,2.0596
2019-03-21,-7.6709
2019-03-22,-2.0408
2019-03-25,-1.8312
2019-03-27,1.0165
2019-03-28,-1.2584
2019-03-29,1.9127
2019-04-01,-3.9666
2019-04-02,-0.6174
2019-04-03,-8.1284
2019-04-04,-2.3810000000000002
2019-04-05,-0.0024
2019-04-08,5.6148
2019-04-09,3.9237
2019-04-10,-7.5556
2019-04-11,7.9327
2019-04-12,-6.6815
2019-04-15,-4.0573
2019-04-16,3.2338
2019-04-17,0.9639
2019-04-18,-3.4654
2019-04-22,0.8183
2019-04-23,0.2967
2019-04-25,-7.0513
2019-04-26,8.2492
2019-04-29,-1.0862
2019-04-30,-4.1887
2019-05-01,7.9487
2019-05-02,1.4252
2019-05-03,-5.8548
2019-05-06,3.4826
2019-05-07,2.6418
2019-05-08,-4.9111
2019-05-09,1.7412999999999998
2019-05-10,1.5711
2019-05-13,5.6223
2019-05-14,-5.6795
2019-05-15,-2.6316
2019-05-16,4.4472
2019-05-17,-2.1995
2019-05-20,-0.6615
2019-05-21,2.5593
2019-05-22,-4.3842
2019-05-23,-1.2346
2019-05-24,-0.7125
2019-05-28,-4.0665
2019-05-29,-2.0262000000000002
2019-05-31,27.5182
