ticker,GRYG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-08,900.0
2015-06-19,-90.0
2015-06-22,900.0
2015-06-29,0.0
2015-07-06,0.0
2015-07-14,-50.0
2015-07-23,4900.0
2015-07-28,-99.95
2015-07-29,199900.0
2015-07-30,0.0
2015-08-04,0.0
2015-08-06,0.0
2015-08-12,-92.0
2015-08-17,900.0
2015-08-18,-75.0
2015-08-24,-60.0
2015-09-18,-99.375
2015-11-09,0.0
2015-12-10,0.0
2015-12-30,0.0
2015-12-31,700.0
2016-01-08,-87.5
2016-01-29,0.0
2016-03-29,700.0
2016-03-30,0.0
2016-03-31,-87.5
2016-05-16,700.0
2016-05-25,-87.5
2016-06-21,0.0
2016-11-08,0.0
2017-02-27,-27.2
2017-03-01,37.3626
2017-03-10,0.0
2017-03-30,0.0
2017-05-22,700.0
2017-09-26,-97.6
2017-10-10,316.6667
2017-10-25,0.0
2017-12-06,-90.0
2018-01-12,0.0
2018-11-13,0.0
2018-11-21,900.0
2019-01-24,-99.0
2019-04-12,9900.0
2019-04-24,-99.0
2019-05-14,0.0
2019-05-15,0.0
2019-05-16,0.0
2019-06-07,4700.0002
2019-09-17,-97.9167
2019-09-27,0.0
2019-11-25,9900.0
2019-12-23,-99.0
2020-01-07,9900.0
2020-02-12,0.0
2020-04-03,0.0
2020-05-15,0.0
